Forum_id|Tag_id
1460|23295
1460|23527
1460|23801
1460|23805
1460|24015
1460|24016
1460|24414
1460|24439
1460|24680
1460|24850
1460|25000
1460|25003
1460|25172
1460|25221
1460|25225
1460|25247
1460|25252
1460|25271
1460|25272
1460|25290
1460|25293
1460|25311
1460|25333
1460|25340
1460|25356
1460|26013
1460|26014
1460|26016
1460|26019
1460|26028
1460|26037
1460|26039
1460|26047
1460|26048
1460|26064
1460|26067
1460|26083
1460|26091
1460|26168
1460|26169
1460|26177
1460|26209
1460|26211
1460|26281
1460|26283
1460|26317
1460|28378
1460|28395
1460|28399
1460|28406
1460|28703
1460|28918
1460|29111
1460|29276
1460|29380
1460|29604
1460|29768
1460|30170
1460|30198
1460|30268
1460|30571
1460|30745
1460|30781
1460|31112
1460|32178
1460|32380
1460|32382
1460|32399
1460|37054
1460|37064
1461|26016
1462|25252
1463|29380
1464|23527
1465|30781
1466|26047
1467|25340
1468|26067
1469|26168
1470|29768
1471|28399
1472|23805
1473|25333
1474|25311
1475|25290
1476|25333
1477|25000
1478|25252
1479|31112
1480|26037
1481|24015
1482|26064
1483|25340
1484|29768
1485|23295
1486|26283
1487|28399
1488|26064
1489|32399
1490|25333
1491|37054
1492|37054
1493|25225
1494|25290
1495|28378
1496|23297
1496|23298
1496|23377
1496|23441
1496|23442
1496|23653
1496|23801
1496|23816
1496|24016
1496|24019
1496|24026
1496|24037
1496|24390
1496|24408
1496|24424
1496|24611
1496|24740
1496|24771
1496|24985
1496|25221
1496|25226
1496|25231
1496|25247
1496|25268
1496|25331
1496|25356
1496|26023
1496|26038
1496|26047
1496|26056
1496|26057
1496|26071
1496|26080
1496|26083
1496|26086
1496|26087
1496|26090
1496|26099
1496|26107
1496|26121
1496|26124
1496|26144
1496|26148
1496|26164
1496|26194
1496|26241
1496|26247
1496|26295
1496|28352
1496|28369
1496|28427
1496|29214
1496|29599
1496|29619
1496|29692
1496|30037
1496|31172
1496|32294
1496|32312
1496|32397
1496|32513
1496|34494
1497|23802
1497|23804
1497|24015
1497|24213
1497|24735
1497|24880
1497|25227
1497|25238
1497|25253
1497|25256
1497|25303
1497|26013
1497|26016
1497|26021
1497|26029
1497|26034
1497|26081
1497|26124
1497|26145
1497|26212
1497|26236
1497|26281
1497|26283
1497|26291
1497|26309
1497|29619
1497|29992
1497|32333
1497|33946
