Post_id|Tag_id
191887|23295
191887|24015
191887|26283
191887|28395
191888|23295
191888|23801
191888|25003
191888|25172
191888|25225
191888|26091
191889|23295
191889|24015
191889|25290
191889|26028
191889|29111
191889|32399
191890|25166
191890|30432
191890|34126
192237|23684
192237|24717
192237|26160
192237|30167
192237|36634
192238|23797
192238|25338
192238|25354
192238|26170
192238|33682
192239|23797
192239|23826
192239|24265
192239|26099
192239|28392
192239|32419
192239|32422
192239|32437
192239|35502
192240|23797
192240|24260
192240|32384
192240|32509
192240|34949
192241|24906
192241|25180
192241|28211
192241|28403
192241|30791
192241|32270
192242|24985
192243|24985
192244|24985
192245|24985
192246|24985
192247|24985
192248|24985
192249|24985
192250|24985
192251|24985
192252|23557
192252|32406
192253|23557
192254|23557
192255|23557
192255|25267
192256|23776
192256|26201
192256|30803
192256|34613
192256|34859
192256|34909
192256|35490
192257|23776
192257|25266
192257|30803
192257|32531
192257|33385
192257|34486
192257|35540
192258|23822
192258|24017
192258|24689
192258|24690
192258|30805
192258|30820
192258|37065
192259|23530
192259|23776
192259|24414
192259|29534
192259|30572
192259|30789
192259|32310
192259|33166
192259|35011
192259|35668
192259|37994
193014|24984
193014|28298
193104|23374
193104|23802
193104|24904
193104|34197
193104|35628
193105|23374
193105|25267
193105|26195
193105|29599
193105|35628
193106|23374
193106|29601
193106|32133
193107|23374
193107|24258
193107|24994
193107|26038
193107|29599
193107|30616
193107|32133
193107|33274
193108|23631
193108|30198
193108|32492
193109|23363
193109|23519
193109|24016
193109|24410
193109|26337
193109|32336
193110|23631
193110|29419
193110|31513
193110|34871
193110|38766
193111|23631
193111|30190
193111|32275
193112|24403
193112|26044
193112|28303
193112|30187
193112|32383
193112|33887
193112|34777
193113|23363
193113|31836
193113|35266
193114|24046
193114|24389
193114|24403
193114|32554
193115|24403
193115|30632
193115|32497
193116|23811
193116|24403
193117|24403
193117|25003
193117|26161
193117|26306
193117|29779
193117|29794
193117|30201
193117|30232
193117|33905
193118|24403
193118|32031
193118|32388
193119|24046
193119|24403
193119|31188
193119|34618
193119|36250
193120|24403
193120|26102
193120|30178
193189|26331
193189|28099
193189|28910
193189|32498
193189|34614
193189|35284
193189|35581
193189|36661
193189|37917
193190|23376
193191|23237
193191|25224
193191|25226
193191|26040
193191|30783
193192|23237
193192|26014
193192|29605
193193|23237
193193|26024
193193|26078
193194|23237
193194|25225
193194|26024
193194|26089
193194|32424
193194|32497
193195|23237
193195|24903
193195|26024
193195|29619
193196|23237
193196|26014
193196|26078
193196|33102
193197|23237
193197|24851
193197|24903
193197|26047
193197|26078
193197|29367
193198|23237
193198|23374
193198|24690
193198|26078
193199|23237
193199|24851
193199|25247
193199|26078
193199|26089
193199|30753
193200|23237
193200|25236
193200|25247
193200|25276
193200|32497
193201|23237
193201|26043
193201|29619
193201|30753
193202|23237
193202|24690
193202|25263
193202|29645
193202|31637
193203|23237
193203|25221
193203|26013
193203|26022
193204|23237
193204|23829
193205|24970
193205|26132
193205|30679
193205|34834
193206|24442
193206|24738
193206|25276
193207|23432
193207|24738
193207|24918
193207|32411
193208|23379
193208|24738
193208|24998
193208|28085
193208|32493
193208|33450
193208|34782
193209|24970
193209|24996
193209|26084
193209|28301
193209|30759
193209|31536
193210|24738
193210|31700
193210|34910
193211|23242
193211|29649
193212|23242
193212|26161
193212|30616
193213|23242
193213|30174
193214|23438
193214|26226
193214|31871
193215|23515
193215|29316
193216|23515
193217|23515
193218|23515
193219|23515
193220|23515
193221|25205
193221|26014
193221|26269
193221|29290
193221|31426
193221|32527
193221|34753
193222|23833
193222|25205
193222|26223
193223|24019
193223|25205
193223|32092
193223|32385
193223|34748
193224|25205
193225|23794
193226|23794
193226|23810
193227|23794
193228|23794
193229|23794
193230|23794
193231|23794
193232|23794
193233|23794
193234|23794
193234|23810
193235|23794
193236|23794
193236|34978
193237|23794
193238|23794
193239|23794
193240|23794
193241|23794
193241|23810
193242|23794
193243|23794
193243|34978
193244|23794
193245|23514
193245|25173
193245|26018
193245|30241
193245|33346
193246|25173
193246|26141
193246|26258
193246|32851
193247|24909
193247|25173
193247|26023
193247|30255
193247|31507
193247|32293
193247|32426
193247|34875
193248|25173
193248|26089
193248|32561
193249|25173
193249|26089
193249|28336
193249|28337
193250|23833
193250|25173
193250|25304
193250|26273
193250|32070
193250|34084
193251|24889
193251|29853
193251|32619
193252|24889
193252|25280
193252|26054
193252|28387
193252|29635
193252|30201
193252|30205
193252|32747
193252|36713
193253|24018
193254|24018
193254|25136
193255|24018
193256|24018
193256|28314
193257|24018
193258|24018
193258|24021
193258|28314
193259|24646
193259|29979
193259|30213
193259|35334
193260|24646
193260|32518
193260|37294
193261|24646
193261|29643
193261|32974
193262|24212
193262|24431
193262|24646
193262|25177
193262|26021
193262|26067
193262|28339
193262|30256
193262|32588
193263|24646
193263|28291
193263|32551
193263|35468
193263|35690
193264|24406
193264|24646
193264|32442
193265|24646
193265|32414
193265|32543
193266|24646
193266|29649
193266|31318
193267|23780
193267|24409
193267|24646
193267|24916
193267|38445
193268|24646
193268|25224
193268|26158
193268|30199
193268|32345
193268|32385
193268|34986
193509|23242
193510|23242
193615|23704
193616|23704
193616|26218
193616|38914
193617|23704
193617|26180
193618|23704
193618|24429
193618|25301
193618|26217
193618|30839
193618|32431
193619|23704
193619|25301
193619|30200
193620|23704
193620|25224
193620|26049
193620|26217
193620|26218
193621|23704
193621|30169
193622|23704
193622|25230
193622|26188
193622|32386
193623|23704
193623|26180
193624|23704
193625|23704
193626|23704
193626|26316
193626|28399
193627|23480
193664|24414
193665|24414
193666|24414
193667|24414
193667|25165
193668|24414
193669|24414
193670|24414
193671|24414
193672|24414
193673|24414
193674|24414
193675|24414
193676|24414
193677|24414
193678|24414
193679|24414
193680|24414
193681|24414
193682|24414
193682|25165
193683|24414
193684|24414
193684|25165
193685|24414
193686|23240
193687|23498
193687|26017
