Comment_id|Person_id
39344|190787
39345|190787
39346|190787
39347|190787
39348|190787
39349|190787
39350|190787
39351|190787
39352|190787
39353|190787
39354|190787
39355|190787
39356|190787
39357|190787
39358|190787
39359|190787
39360|190787
39361|190787
39362|190787
39363|190787
39364|190787
39365|190787
39366|190787
39367|190787
39368|190787
39369|190787
39370|190787
39371|190787
39372|190787
39373|190787
39374|190787
39375|190787
39376|190787
39377|190787
39378|190787
39379|190787
39380|190787
39381|190787
39382|190787
39383|190787
39384|190787
39385|190787
39386|190787
39387|190787
39509|190787
39510|190787
39511|190787
39516|190787
39517|190787
39559|191537
39563|191537
39621|191822
39626|191822
39631|191822
39650|191822
39853|191793
39854|191793
39865|191793
39871|191793
39872|191793
39874|191793
39875|191793
39886|191793
39888|191793
39898|191793
39901|191793
39906|191793
39909|191793
39916|191793
39928|191793
39937|191537
39998|191537
40190|191537
40418|191704
40445|191704
40573|191509
40698|191509
40712|191509
40735|191509
40740|191509
40785|191509
40877|191822
40945|191822
40984|191822
41178|190787
41182|190787
41183|190787
41186|190787
41188|190787
41190|191622
41633|191748
41648|191748
41657|191748
41667|191748
41671|191748
41672|191748
41675|191748
41678|191748
41687|191748
41690|191748
41693|191748
41700|191748
41703|191748
41713|191748
41720|191748
41746|191748
41755|191748
41767|191748
41779|191748
41783|191748
41793|191748
41794|191748
41809|191748
41811|191748
41819|191748
41824|191748
41835|191748
41841|191748
41874|191748
41901|191622
41953|191003
41967|191003
41999|191003
42000|191003
42008|191003
42053|190848
42056|191508
42062|190547
42069|190848
42075|190848
42092|190547
42111|191508
42118|190547
42121|191508
42164|190848
42166|191508
42206|190547
42208|190848
42217|190547
42222|191508
42227|190848
42243|191508
42262|190547
42296|191508
42314|190547
42315|190848
42340|191508
42363|190547
42411|190547
42419|190547
42431|190848
42456|190848
42474|190848
42485|190547
42504|190547
42510|190547
42551|191508
42564|190848
42568|190547
42576|190547
42579|190848
42582|190848
42591|190547
42645|190848
42647|190848
42654|190848
42670|190848
42690|190848
42709|190848
42803|190848
42831|190848
42842|190848
42862|190848
42870|190848
42897|190848
42969|191704
42970|191537
42972|191537
42974|191537
42975|191537
42976|191704
42988|191537
42993|191537
43056|191537
43086|191537
43103|191537
43140|191537
43152|191537
43164|191537
43170|191537
43173|191537
43176|191537
43189|191537
43205|191537
43227|191622
43248|190848
43269|190848
43278|190848
43306|190848
43340|191622
43350|190848
43357|190848
43417|191822
43420|191822
43421|191822
43460|191783
43600|190836
43606|190836
43614|190836
43637|190836
43638|190836
43712|190836
43722|190836
43733|190836
43888|191704
43889|191793
43892|191793
43896|191704
43901|191793
43903|191251
43913|191251
43922|191251
43931|191793
43946|191537
43949|191251
43951|191793
43966|191793
43971|191793
43991|191704
44005|191704
44009|191251
44043|191251
44044|191793
44062|191537
44069|191251
44078|191704
44081|191537
44097|191251
44145|191251
44151|191251
44178|191251
44180|191793
44188|191251
44219|191704
44225|191793
44227|191704
44229|191251
44232|191793
44239|191793
44307|190848
44310|190848
44311|190848
44329|190848
44330|190848
44334|190848
44341|190848
44345|190848
44384|190787
44390|190787
44795|191748
44800|191748
44805|191748
44829|191622
44851|191748
44855|191748
44867|191748
44868|191748
44877|191748
44879|191748
44906|191748
44907|191748
44910|191748
44912|191748
44914|191748
44936|191748
44937|191748
44939|191748
44950|191748
44952|191748
44958|191748
44962|191748
44964|191748
44966|191748
44994|191704
45114|191704
45118|191704
45127|191704
45279|191805
45312|191805
45338|191805
45354|191805
45384|191537
45390|191537
45391|191537
45398|191537
45400|191537
45401|191537
45404|191537
45408|191537
45411|191537
45412|191537
45484|191003
45493|191003
45569|191003
45608|191003
45646|190787
45652|191509
45657|191509
45658|191509
45660|190474
45667|190474
45670|190474
45678|191509
45680|190474
45682|190787
45691|190474
45698|191509
45703|190474
45709|190787
45726|190474
45760|190787
45767|191509
45777|191509
45801|191622
45833|191622
45909|191622
45913|191622
45954|190787
45957|190787
45960|190787
45962|190787
45963|190787
45967|190787
46166|191622
46279|191783
46351|190836
46388|190836
46598|191748
46610|191748
46613|191748
46628|191748
46629|191748
46636|191748
46657|191748
46682|191748
46718|191748
46724|190787
46726|190787
46727|190787
46730|190787
46733|190787
46736|190787
46745|190787
46746|190787
46749|190787
46752|190787
46753|190787
46758|190787
46765|190787
46768|190787
46771|190787
46773|190787
46790|191622
46795|191622
46948|190430
46991|190430
47009|190430
47015|190430
47023|190430
47025|190430
47026|190430
47039|190430
47052|190430
47055|190430
47070|190430
47118|190430
47131|190430
47149|190430
47163|190430
47166|190430
47199|190430
47207|190430
47228|191704
47229|191704
47232|191704
47233|191704
47235|191704
47236|191704
47241|191704
47242|191704
47243|191704
47314|191537
47317|191537
47401|190564
47403|190564
47407|190564
47408|190564
47411|190564
47413|190564
47414|190564
47422|190564
47430|190564
47432|190564
47536|190979
47538|190979
47541|190979
47543|190787
47548|190979
47553|190430
47559|190430
47563|190430
47578|190430
47581|190787
47585|190430
47591|190430
47592|190787
47595|190979
47600|190979
47605|190979
47607|190787
47611|190430
47616|190979
47621|190787
47623|190787
47625|190787
47626|190430
47631|190979
47635|190979
47637|190787
47644|190787
47649|190430
47654|190474
47659|190474
47661|190996
47665|190996
47667|190996
47688|190474
47711|190474
47835|190474
47838|190996
47887|190996
47889|190996
47890|190474
47904|190996
47910|191622
47913|190996
47916|190996
47921|190996
47935|190996
47942|190996
47944|190474
47956|191622
47980|190996
47993|190474
47999|190474
48001|190996
48018|190474
48021|190474
48024|190474
48027|190996
48028|190996
48030|190996
48060|190547
48069|190547
48145|190979
48164|190979
48165|190547
48225|190979
48235|190979
48268|190979
48336|190979
48404|190979
48412|190979
48419|190979
48420|190979
48433|190547
48435|190979
48470|190547
48477|190979
48486|190979
48505|190547
48567|191622
48568|191622
48569|191622
48594|191622
48628|191622
48630|191622
48633|191622
48641|191622
48642|191622
48656|191622
48671|190836
48683|190836
48694|190836
48702|190836
48765|190474
49053|191793
49063|191793
49084|191793
49094|191793
49096|191437
49098|191437
49099|191437
49109|191793
49112|191793
49131|191793
49132|191793
49145|191793
49148|191793
49153|191793
49163|191437
49342|191641
49346|191641
49364|190547
49406|190547
49426|191641
49428|191641
49438|191641
49441|191641
49446|191508
49449|191641
49451|191641
49465|191508
49536|191508
49544|190547
49554|190547
49557|191641
49559|190547
49579|191508
49589|191641
49607|191641
49647|191508
49657|191641
49672|191641
49692|191641
49694|191641
49699|190547
49741|191508
49743|191622
49754|191508
49756|191641
49758|190547
49760|190547
49764|191641
49785|191641
49789|191641
49793|191641
49806|191641
49812|190547
49844|191622
49865|191641
49953|191508
49976|191641
49994|191622
50032|191622
50048|190547
50051|190547
50054|191622
50059|191508
50068|191622
50070|191508
50077|191508
50093|191641
50094|191622
50097|191622
50112|190547
50130|191641
50132|191622
50138|191508
50142|191508
50182|190547
50191|191641
50218|190547
50233|190547
50241|191508
50243|190547
50249|191622
50258|191508
50283|191641
50293|191508
50317|191641
50335|190547
50389|190547
50394|190547
50398|190547
50406|190979
50415|190979
50443|190979
50472|190996
50474|190996
50506|190996
50511|190996
50522|190547
50531|190979
50532|190996
50535|190979
50540|190996
50549|190979
50552|190979
50564|190547
50574|190979
50586|190979
50592|190996
50593|190979
50597|190979
50605|190996
50607|190979
50619|190996
50621|190547
50622|190979
50623|190547
50625|190996
50627|190996
50629|190996
50632|190979
50636|190979
50643|190979
50655|190547
50657|190547
50660|190979
50661|190996
50662|190979
50681|190547
50688|190996
50690|190996
50693|190547
50702|190996
50704|190979
50740|190979
50741|190547
50742|190979
50743|190979
50747|190547
50751|190547
50764|190979
50770|190996
50774|190979
50776|190979
50780|190547
50781|190547
50783|190979
50785|190996
50786|190996
50787|190996
50794|190547
50795|190979
50797|190547
50917|191793
50938|191793
50940|191793
50953|191793
50957|191793
50958|191793
50970|191793
50985|191793
50987|191793
50996|191793
51002|191793
51019|191793
51024|191793
51038|191793
51090|191622
51094|190996
51096|190979
51098|191748
51105|191748
51106|191748
51119|190996
51133|190996
51135|190996
51136|190996
51143|190996
51145|190996
51156|190996
51163|190996
51164|190996
51172|190996
51180|190996
51187|190996
51194|190996
51203|190996
51211|190996
51212|190996
51227|190996
51238|190996
51243|190996
51262|190996
51266|190996
51271|190996
51281|190996
51284|191822
51285|191822
51290|191822
51297|191822
51300|191822
51307|191822
51313|191822
51323|191822
51324|191822
51329|191822
51330|191822
51333|191822
51335|191822
51377|190474
51386|190474
51409|190474
51414|191083
51422|190474
51423|190474
51445|191083
51505|190474
51543|190474
51553|190474
51574|190474
51613|190474
51706|191083
51716|191083
51724|191083
51733|190474
51743|191783
51766|191783
51770|190564
51803|190848
51810|190848
51825|190848
51826|190848
51829|190848
51855|190848
51864|190848
51879|190787
51887|191793
52123|190836
52252|190836
52337|190836
52349|190836
52578|191805
52579|191805
52580|191805
52586|191805
52600|191783
52601|191783
52603|191537
52605|191783
52607|191783
52608|191537
52609|191783
52624|191537
52626|191783
52627|191783
52630|191537
52631|191537
52633|191537
52650|191719
52653|191719
52657|191719
52662|191537
52663|191537
52664|191719
52676|191537
52683|191719
52684|191719
52686|191719
52687|191719
52692|191719
52693|191719
52695|191719
52700|191719
52704|191719
52705|191719
52708|191719
52709|191719
52712|191719
52713|191719
52714|191719
52717|191719
52719|191719
52723|191719
52726|191719
52732|191719
52738|191719
52790|191748
52796|190996
52799|191748
52810|190996
52817|191059
52821|191059
52825|191059
52833|191748
52845|191059
52848|190996
52860|191059
52884|191748
52893|191059
52911|191059
52929|190996
52931|190996
52941|190996
52944|191748
52971|191793
52989|191622
52990|191622
52998|191793
53006|191793
53011|191793
53021|191622
53050|191622
53096|191622
53103|191793
53108|191622
53111|191622
53120|191793
53126|191793
