Comment_id|Tag_id
39322|24015
39322|24043
39322|25290
39322|25306
39322|29111
39322|32399
39322|33807
39325|23294
39325|25007
39325|25290
39325|26207
39325|26315
39325|33807
39327|23294
39327|24400
39327|25007
39327|25238
39327|26207
39327|26315
39327|33169
39327|33807
39330|23295
39330|25290
39330|26283
39330|30641
39330|32399
39330|36540
39333|23294
39333|25290
39333|26198
39333|28363
39333|32510
39335|23295
39335|23780
39335|25222
39335|26299
39336|23295
39336|26028
39336|26081
39336|26122
39336|29111
39336|29648
39339|25166
39339|28483
39339|30432
39339|34126
39339|34495
39340|24011
39340|25166
39340|28483
39340|34126
39340|34495
39340|35059
39340|35646
39344|24717
39344|26160
39344|29786
39344|30125
39344|30741
39345|23684
39345|23830
39345|26160
39345|28356
39345|39226
39350|23684
39350|24427
39350|24717
39350|26085
39350|30167
39350|36634
39350|37744
39352|25354
39352|26170
39352|26189
39352|30811
39352|33682
39352|36290
39353|23245
39353|23797
39353|25338
39353|26116
39353|26170
39353|34709
39358|26059
39358|26189
39358|30011
39358|30775
39358|30811
39358|33682
39359|23245
39359|23797
39359|25006
39359|25338
39359|26042
39359|26170
39359|28363
39360|23245
39360|24436
39360|25006
39360|26042
39360|26170
39360|28771
39360|29609
39360|30743
39362|23797
39362|26120
39362|26170
39362|30256
39362|33682
39362|37357
39364|28320
39364|28337
39364|29962
39364|37357
39366|23797
39366|23812
39366|23826
39366|24265
39366|26099
39366|26109
39366|26245
39366|32419
39366|32422
39366|32488
39366|35010
39366|35502
39368|25251
39368|26074
39368|26082
39368|30253
39368|30601
39368|32419
39368|32437
39368|35502
39371|23797
39371|24032
39371|28316
39371|29901
39371|32337
39371|32412
39371|32419
39371|35502
39372|23797
39372|26099
39372|28320
39372|32272
39372|32330
39372|32422
39372|32437
39372|35018
39372|35502
39372|37129
39373|23812
39373|23826
39373|24265
39373|25296
39373|26099
39373|26109
39373|26245
39373|28681
39373|30270
39373|31383
39373|32065
39373|32419
39373|32432
39373|35010
39378|23826
39378|25312
39378|25341
39378|26109
39378|26245
39378|29510
39378|31119
39378|32488
39378|32554
39378|34878
39378|35010
39378|35502
39380|23797
39380|28455
39380|28494
39380|32384
39380|34949
39380|36961
39382|24213
39382|26144
39382|28455
39382|32384
39382|37247
39385|28494
39385|29614
39385|32304
39385|34864
39385|34949
39391|23442
39391|25180
39391|28211
39391|30791
39391|32270
39391|35241
39391|35395
39396|24906
39396|25180
39396|28403
39396|29673
39396|30180
39396|32148
39397|32148
39397|34271
39397|35084
39397|36186
39400|24985
39400|26167
39401|24985
39401|26167
39401|28378
39404|24985
39404|35106
39406|24985
39406|28316
39409|26107
39412|24985
39412|30818
39420|32385
39426|26217
39432|26211
39434|25327
39434|26211
39436|23379
39437|26302
39441|30237
39448|25228
39452|38422
39454|32491
39461|24985
39461|30826
39462|28085
39465|24850
39469|25256
39471|29727
39479|24985
39479|34849
39480|24985
39480|26187
39484|23820
39484|24985
39492|28724
39495|24985
39495|26157
39496|24985
39496|30246
39497|23557
39497|35160
39498|29643
39502|23557
39502|29047
39502|32406
39505|23557
39505|33279
39506|23557
39506|30477
39506|33279
39507|33279
39507|34841
39507|36359
39509|33279
39509|34831
39509|34841
39509|38902
39512|23531
39512|23822
39512|24689
39512|24690
39512|29165
39512|30758
39512|30805
39512|30820
39512|33143
39512|37065
39513|24689
39513|26089
39513|32739
39513|34490
39513|34876
39525|23380
39525|34934
39526|29601
39526|30802
39526|33115
39527|26065
39527|29529
39527|29601
39535|24258
39535|25222
39535|26038
39535|28760
39535|32133
39535|32585
39535|33274
39535|38673
39536|24994
39536|26038
39536|29428
39536|29599
39536|32133
39536|32507
39536|32521
39536|33274
39536|34495
39539|28378
39539|31877
39540|26036
39540|28511
39540|30198
39541|23631
39541|26242
39541|29675
39541|30198
39543|26048
39543|26242
39543|29727
39545|26283
39545|29220
39545|29675
39545|30198
39547|23631
39547|26242
39547|29675
39547|30198
39547|30767
39547|32478
39550|23631
39550|25270
39550|26294
39550|32492
39554|23363
39554|23519
39554|24016
39554|24410
39554|26337
39554|30762
39554|31643
39554|32336
39554|32432
39555|23519
39555|24410
39555|26337
39555|28894
39555|30917
39555|32336
39555|37373
39557|23519
39557|24016
39557|24019
39557|24410
39557|26337
39557|28732
39557|38372
39558|23363
39558|24016
39558|24998
39558|25280
39558|30762
39558|31610
39558|32432
39558|33550
39558|34977
39559|23519
39559|24016
39559|24388
39559|24410
39559|26337
39559|28381
39559|31284
39559|32336
39560|25225
39560|26204
39560|29419
39560|30242
39560|34871
39563|23780
39563|26124
39563|29390
39563|34871
39563|38766
39565|29419
39565|29625
39565|30208
39565|34871
39565|35922
39565|38766
39567|25225
39567|29419
39567|29685
39567|30242
39567|32064
39567|32484
39567|34871
39571|28110
39571|29419
39571|29683
39571|30208
39571|36934
39571|38766
39572|24995
39572|25223
39572|26016
39572|30242
39572|34611
39572|34871
39574|29419
39574|30130
39574|30242
39574|30373
39574|32064
39574|32305
39574|32398
39574|34871
39576|23631
39576|23808
39576|32275
39576|35579
39579|23631
39579|30190
39579|32565
39579|37090
39585|24403
39585|26044
39585|28303
39585|29663
39585|33887
39585|34235
39585|34400
39585|34777
39585|37411
39587|24403
39587|24437
39587|24611
39587|26033
39587|26152
39587|26211
39587|33887
39587|34235
39587|34777
39587|37411
39588|24210
39588|24403
39588|30187
39588|30715
39588|32255
39588|32383
39588|36984
39595|24403
39595|29663
39595|32554
39595|36468
39598|24403
39598|25260
39598|26016
39598|29663
39598|32554
39601|24046
39601|24389
39601|30376
39601|32412
39603|24403
39603|25256
39603|25260
39603|26291
39603|35710
39605|25234
39605|28537
39605|30632
39605|32497
39606|24403
39606|26057
39606|30632
39606|30800
39606|32497
39609|24403
39609|25145
39609|29282
39609|32497
39612|24403
39612|30632
39612|30803
39612|32497
39612|38626
39613|25234
39613|28537
39613|30632
39613|34929
39613|37496
39621|23811
39621|24403
39621|32406
39623|23811
39623|23812
39623|24403
39623|28766
39627|23811
39627|24403
39627|26304
39629|24999
39629|26161
39629|29794
39629|29940
39629|30201
39629|30232
39629|33905
39629|35320
39629|35709
39629|35853
39631|25298
39631|26317
39631|28381
39631|29769
39631|29940
39631|30232
39631|32596
39631|33905
39631|35709
39631|35853
39635|24403
39635|30183
39635|35146
39639|24403
39639|30746
39639|31188
39639|31695
39639|32485
39639|34618
39641|24046
39641|25241
39641|25359
39641|30439
39641|31188
39643|24046
39643|25241
39643|25359
39643|28670
39643|30439
39643|31273
39643|35302
39645|24403
39645|24440
39645|26038
39645|29343
39645|31188
39648|24403
39648|24440
39648|25254
39648|26038
39648|29343
39648|32477
39648|33970
39650|26102
39650|26315
39650|29389
39652|25308
39652|26315
39652|29389
39652|31382
39655|25304
39655|26315
39655|29389
39655|29669
39658|23705
39658|24400
39658|26037
39658|29606
39658|30267
39658|32498
39658|34614
39658|35284
39658|35581
39658|37917
39665|25315
39667|23376
39667|23815
39673|24427
39674|23801
39681|25226
39681|26286
39681|30783
39681|31768
39681|37581
39683|24045
39683|25224
39683|25226
39683|28230
39683|37397
39689|24045
39689|26193
39689|26287
39689|28230
39689|28336
39692|23432
39692|24045
39692|26193
39692|26287
39692|26318
39692|28336
39692|30035
39706|23237
39706|23810
39706|25227
39706|26078
39707|26024
39707|26329
39707|28299
39712|24411
39712|26024
39712|30174
39713|23237
39713|23514
39713|34296
39714|23810
39714|24016
39714|25227
39714|26128
39718|23237
39718|25225
39718|25269
39718|26024
39718|26043
39718|26089
39718|31318
39718|32424
39719|23237
39719|25269
39719|26043
39719|26089
39719|28621
39719|29235
39719|31318
39719|32424
39719|33878
39719|36793
39720|23237
39720|25328
39720|25355
39720|26024
39720|26054
39720|32424
39720|32497
39723|25328
39723|25355
39723|29642
39723|31847
39723|32424
39723|32497
39723|33089
39725|23237
39725|25237
39725|25306
39725|25355
39725|26024
39725|26249
39725|34931
39728|23237
39728|23242
39728|25328
39728|26024
39728|26095
39728|34757
39728|34823
39729|23242
39729|25350
39729|26095
39729|26156
39729|30284
39729|31997
39729|34757
39729|34823
39735|23237
39735|24903
39735|26024
39735|32533
39735|33970
39736|24414
39736|24903
39736|26024
39736|29254
39736|33970
39736|37862
39738|24903
39738|26173
39738|29254
39738|32815
39738|35525
39738|37862
39740|23237
39740|24903
39740|25304
39740|35184
39740|35685
39742|23237
39742|24031
39742|30255
39742|30816
39743|23684
39743|24420
39743|24903
39743|35184
39743|35685
39743|36432
39748|25289
39748|26173
39748|32427
39748|32815
39748|35525
39748|35664
39750|23237
39750|26014
39750|33986
39750|34806
39754|23237
39754|26014
39754|32335
39754|32417
39754|33102
39756|23237
39756|26014
39756|28622
39756|30181
39757|23237
39757|25284
39757|35736
39761|26014
39761|28368
39761|28570
39761|32417
39761|35293
39764|23797
39764|24903
39764|26078
39764|32404
39764|34325
39770|24851
39770|26068
39770|26089
39770|26137
39770|30753
39770|32391
39771|24851
39771|25247
39771|26078
39771|26089
39771|29069
39771|29306
39771|30753
39771|31311
39775|23237
39775|25276
39775|30166
39775|30241
39775|32497
39775|35240
39780|23812
39780|24425
39780|26043
39780|30753
39781|23812
39781|29046
39781|32715
39782|24029
39782|24436
39783|26043
39783|29737
39783|30092
39784|23237
39784|26043
39784|29619
39784|30535
39784|30753
39784|37730
39787|29619
39787|30886
39787|33252
39788|23237
39788|26043
39788|30371
39788|30619
39788|32863
39792|30553
39792|31637
39792|32422
39792|34788
39798|24690
39798|25221
39798|26056
39798|29645
39798|31637
39798|33503
39807|24970
39807|25231
39807|30679
39807|32298
39809|25276
39809|26025
39809|26086
39810|24738
39810|25276
39810|25325
39810|30802
39811|24738
39811|25276
39811|30107
39811|32321
39818|24738
39818|25276
39818|30838
39818|32816
39820|25276
39820|32816
39820|38339
39820|38694
39821|24213
39821|25276
39821|30107
39821|32321
39821|32856
39824|24031
39824|24918
39824|32411
39824|35456
39828|30236
39828|32296
39828|32411
39829|26110
39829|30236
39829|32296
39829|32412
39835|23294
39835|23379
39835|26060
39835|29610
39835|32493
39835|32524
39839|23379
39839|24738
39839|24998
39839|25314
39839|25356
39839|26152
39839|32318
39839|32493
39839|33450
39842|25336
39842|26060
39842|28583
39842|29610
39842|32493
39842|32524
39842|34586
39843|23379
39843|24030
39843|26060
39843|29610
39843|29779
39843|30786
39843|32493
39844|24970
39844|26084
39844|30317
39844|34497
39844|35447
39846|26084
39846|28343
39846|31700
39848|23242
39848|33882
39850|23242
39850|30174
39850|34912
39851|23242
39851|29601
39851|30174
39851|32562
39853|29316
39853|33393
39854|29316
39854|35535
39857|23515
39857|36084
39862|23515
39862|36073
39863|34110
39865|29617
39874|23515
39874|30300
39876|23515
39876|28232
39876|30300
39881|24410
39881|25205
39881|26014
39881|29290
39881|30743
39881|30768
39881|32527
39881|34753
39881|35233
39883|26269
39883|26320
39883|28293
39883|31426
39883|32482
39883|32527
39883|37719
39887|26063
39887|26269
39887|32472
39887|32527
39887|34753
39887|34779
