id|name|url
15210|OfficeHolder|http://dbpedia.org/ontology/OfficeHolder
15237|MilitaryPerson|http://dbpedia.org/ontology/MilitaryPerson
15276|EurovisionSongContestEntry|http://dbpedia.org/ontology/EurovisionSongContestEntry
15247|BaseballPlayer|http://dbpedia.org/ontology/BaseballPlayer
15239|ComicsCreator|http://dbpedia.org/ontology/ComicsCreator
15230|PrimeMinister|http://dbpedia.org/ontology/PrimeMinister
15254|AmericanFootballPlayer|http://dbpedia.org/ontology/AmericanFootballPlayer
15250|Senator|http://dbpedia.org/ontology/Senator
15245|BasketballPlayer|http://dbpedia.org/ontology/BasketballPlayer
15231|Cricketer|http://dbpedia.org/ontology/Cricketer
15223|Politician|http://dbpedia.org/ontology/Politician
15244|Actor|http://dbpedia.org/ontology/Actor
15260|FictionalCharacter|http://dbpedia.org/ontology/FictionalCharacter
15256|SnookerChamp|http://dbpedia.org/ontology/SnookerChamp
15243|Wrestler|http://dbpedia.org/ontology/Wrestler
15234|Cyclist|http://dbpedia.org/ontology/Cyclist
15266|CollegeCoach|http://dbpedia.org/ontology/CollegeCoach
15259|Model|http://dbpedia.org/ontology/Model
15257|SnookerPlayer|http://dbpedia.org/ontology/SnookerPlayer
15249|Chancellor|http://dbpedia.org/ontology/Chancellor
15251|Band|http://dbpedia.org/ontology/Band
15265|Astronaut|http://dbpedia.org/ontology/Astronaut
15238|MartialArtist|http://dbpedia.org/ontology/MartialArtist
15277|Company|http://dbpedia.org/ontology/Company
15279|SportsTeamMember|http://dbpedia.org/ontology/SportsTeamMember
15278|MilitaryUnit|http://dbpedia.org/ontology/MilitaryUnit
15255|GridironFootballPlayer|http://dbpedia.org/ontology/GridironFootballPlayer
15267|AdultActor|http://dbpedia.org/ontology/AdultActor
15263|Film|http://dbpedia.org/ontology/Film
