Person_id|Organisation_id|workFrom
190379|15490|0
190414|16057|0
190421|15940|0
190421|15927|0
190421|15928|0
190421|15917|0
190429|15476|0
190429|15482|0
190429|15483|0
190429|15485|0
190508|15378|0
190508|15363|0
190508|15372|0
190508|15374|0
190521|15604|0
190521|15591|0
190521|15593|0
190521|15594|0
190543|15476|0
190543|15477|0
190543|15479|0
190543|15481|0
190543|15482|0
190583|15965|0
190698|15490|0
190727|15688|0
190802|15334|0
190802|15338|0
190802|15326|0
190802|15359|0
190807|15522|0
190807|15506|0
190807|15494|0
190807|15527|0
190820|16265|0
190820|16266|0
190852|15487|0
190885|15384|0
190890|15489|0
190890|15486|0
190890|15487|0
190890|15488|0
190894|15410|0
190919|15490|0
190919|15488|0
190940|16020|0
190976|15477|0
190996|15603|0
190996|15594|0
190996|15598|0
191099|15986|0
191124|16586|0
191150|16265|0
191204|16696|0
191204|16683|0
191204|16717|0
191204|16719|0
191231|15666|0
191231|15673|0
191231|15661|0
191231|15664|0
191239|15675|0
191254|15997|0
191268|16533|0
191316|16762|0
191345|15669|0
191345|15673|0
191371|16492|0
191413|15604|0
191433|16316|0
191484|15487|0
191485|16350|0
191501|15487|0
191511|15667|0
191511|15669|0
191511|15654|0
191536|16397|0
191584|15487|0
191614|15489|0
191614|15487|0
191634|15486|0
191634|16478|0
191738|16334|0
191740|16820|0
191768|15657|0
191799|15803|0
191842|15486|0
191842|15488|0
191861|16600|0
191861|16586|0
191861|16592|0
191867|16575|0
