Place_id1|Place_id2
3|1456
6|1456
7|1456
9|1456
10|1456
13|1456
14|1456
20|1456
23|1456
24|1456
29|1459
31|1456
32|1456
35|1459
37|1456
38|1456
40|1456
42|1456
43|1456
45|1456
48|1456
50|1456
56|1456
62|1459
63|1456
64|1456
72|1456
75|1456
77|1456
78|1456
79|1456
81|1456
86|1456
89|1456
92|1456
93|1456
95|1456
99|1456
101|1456
106|1456
107|1456
509|3
512|6
513|7
515|9
516|10
519|13
520|14
526|20
529|23
530|24
535|29
537|31
538|32
541|35
543|37
544|38
546|40
548|42
549|43
551|45
554|48
595|50
596|50
597|50
598|50
599|50
600|50
601|50
602|50
603|50
604|50
605|50
606|50
607|50
608|50
609|50
610|50
611|50
612|50
613|50
614|50
615|50
616|50
617|50
618|50
619|50
620|50
621|50
622|50
623|50
624|50
625|50
626|50
627|50
628|50
629|50
630|50
631|50
632|50
633|50
634|50
832|56
833|56
834|56
835|56
836|56
837|56
838|56
839|56
840|56
841|56
842|56
843|56
844|56
845|56
846|56
847|56
848|56
849|56
850|56
851|56
852|56
853|56
854|56
855|56
856|56
857|56
858|56
859|56
860|56
861|56
862|56
863|56
864|56
865|56
866|56
867|56
868|56
869|56
870|56
871|56
980|62
981|62
982|62
983|62
984|62
985|62
986|62
987|62
988|62
989|62
990|63
991|63
992|63
993|63
994|63
995|63
996|63
997|63
998|63
999|63
1000|64
1001|64
1002|64
1003|64
1004|64
1005|64
1006|64
1007|64
1008|64
1009|64
1080|72
1081|72
1082|72
1083|72
1084|72
1085|72
1086|72
1087|72
1088|72
1089|72
1110|75
1111|75
1112|75
1113|75
1114|75
1115|75
1116|75
1117|75
1118|75
1129|77
1130|77
1131|77
1132|77
1133|77
1134|77
1135|77
1136|77
1137|77
1138|78
1139|78
1140|78
1141|78
1142|78
1143|78
1144|78
1145|78
1146|78
1147|78
1148|79
1149|79
1150|79
1151|79
1152|79
1153|79
1154|79
1155|79
1156|79
1157|79
1168|81
1169|81
1170|81
1171|81
1172|81
1173|81
1174|81
1175|81
1176|81
1177|81
1217|86
1218|86
1219|86
1220|86
1221|86
1222|86
1223|86
1224|86
1225|86
1226|86
1247|89
1248|89
1249|89
1250|89
1251|89
1252|89
1253|89
1254|89
1255|89
1256|89
1277|92
1278|92
1279|92
1280|92
1281|92
1282|92
1283|92
1284|92
1285|92
1286|92
1287|93
1288|93
1289|93
1290|93
1291|93
1292|93
1293|93
1294|93
1295|93
1296|93
1305|95
1306|95
1307|95
1308|95
1309|95
1310|95
1311|95
1312|95
1313|95
1314|95
1343|99
1344|99
1345|99
1346|99
1347|99
1348|99
1349|99
1350|99
1351|99
1352|99
1363|101
1364|101
1365|101
1366|101
1367|101
1368|101
1369|101
1370|101
1371|101
1372|101
1412|106
1413|106
1414|106
1415|106
1416|106
1417|106
1418|106
1419|106
1420|106
1421|106
1422|107
1423|107
1424|107
1425|107
