Person_id|Organisation_id|classYear
190360|17917|0
190362|17665|0
190363|20441|0
190364|22082|0
190369|17716|0
190370|22082|0
190373|17640|0
190376|21264|0
190378|17488|0
190380|17772|0
190385|17082|0
190390|23174|0
190392|17138|0
190396|20517|0
190397|21584|0
190404|17606|0
190405|17688|0
190406|17715|0
190407|16883|0
190409|17138|0
190412|23174|0
190416|21631|0
190436|20246|0
190438|17491|0
190439|17759|0
190440|21759|0
190443|17491|0
190444|21481|0
190445|17130|0
190446|18227|0
190447|20428|0
190448|19949|0
190450|18291|0
190454|20471|0
190456|20802|0
190459|21180|0
190462|17138|0
190465|22088|0
190466|17929|0
190468|20552|0
190473|19955|0
190476|16878|0
190481|20802|0
190489|23173|0
190491|17927|0
190494|17240|0
190499|22082|0
190500|21905|0
190501|23223|0
190503|23167|0
190508|17050|0
190520|21790|0
190526|20517|0
190530|20742|0
190531|18225|0
190533|18226|0
190535|18113|0
190538|17489|0
190542|23174|0
190545|17488|0
190551|23232|0
190552|21716|0
190554|18290|0
190555|20220|0
190557|21016|0
190560|20802|0
190561|20422|0
190562|20043|0
190565|21262|0
190567|20522|0
190568|16858|0
190572|17800|0
190575|18458|0
190577|18271|0
190581|20888|0
190587|17488|0
190594|18490|0
190595|18294|0
190597|19874|0
190600|17238|0
190609|16878|0
190610|21479|0
190611|21948|0
190621|18291|0
190624|17488|0
190631|19871|0
190632|17488|0
190633|17237|0
190634|21679|0
190641|17489|0
190642|17571|0
190643|18296|0
190644|17493|0
190646|18294|0
190649|23158|0
190652|18380|0
190656|23232|0
190658|18290|0
190660|18347|0
190661|16858|0
190662|17975|0
190663|18295|0
190665|17493|0
190673|19954|0
190676|19800|0
190677|21761|0
190678|18115|0
190679|20514|0
190682|18294|0
190683|21587|0
190688|23176|0
190694|18296|0
190698|17261|0
190701|18290|0
190705|21291|0
190708|21835|0
190709|21669|0
190712|18264|0
190713|17493|0
190715|20319|0
190716|21677|0
190723|17096|0
190724|18115|0
190725|18291|0
190727|17955|0
190735|17721|0
190740|18296|0
190742|17493|0
190743|20552|0
190746|18297|0
190750|23219|0
190751|17493|0
190755|18290|0
190757|22082|0
190758|21150|0
190761|20764|0
190764|17488|0
190766|17488|0
190767|17560|0
190768|21838|0
190769|20227|0
190770|20233|0
190774|18779|0
190775|17493|0
190776|16914|0
190777|23232|0
190778|20448|0
190779|18113|0
190782|23222|0
190786|20241|0
190788|22082|0
190789|17271|0
190790|21955|0
190793|17493|0
190797|18291|0
190798|21486|0
190799|21450|0
190801|18616|0
190802|16916|0
190804|18866|0
190805|21583|0
190807|17270|0
190810|23216|0
190813|20809|0
190815|17488|0
190817|18108|0
190820|21147|0
190821|19872|0
190822|17489|0
190827|18290|0
190829|18295|0
190831|22136|0
190833|22082|0
190836|21770|0
190840|17130|0
190861|18113|0
190863|18113|0
190864|18295|0
190867|17493|0
190870|18296|0
190872|17454|0
190877|18296|0
190878|19659|0
190879|18296|0
190883|17493|0
190884|20237|0
190885|17066|0
190886|21090|0
190890|17261|0
190891|20227|0
190895|20425|0
190896|21483|0
190900|20804|0
190901|18290|0
190903|21089|0
190912|20552|0
190922|18296|0
190924|20450|0
190936|20224|0
190938|19117|0
190940|20261|0
190942|17803|0
190947|17097|0
190948|18589|0
190952|21226|0
190957|23173|0
190961|17489|0
190965|17971|0
190967|20234|0
190969|18108|0
190972|21145|0
190975|21769|0
190979|18173|0
190981|21956|0
190984|20517|0
190986|17491|0
190987|20552|0
190988|20802|0
190989|17488|0
190990|20229|0
190994|17068|0
