Forum_id|Post_id
1460|191887
1460|191888
1460|191889
1460|191890
1462|191891
1462|191892
1462|191893
1462|191894
1462|191895
1462|191896
1462|191897
1462|191898
1462|191899
1462|191900
1462|191901
1462|191902
1462|191903
1462|191904
1462|191905
1462|191906
1462|191907
1462|191908
1462|191909
1463|191910
1463|191911
1463|191912
1463|191913
1463|191914
1463|191915
1463|191916
1463|191917
1463|191918
1463|191919
1463|191920
1463|191921
1463|191922
1463|191923
1463|191924
1463|191925
1465|191933
1469|191972
1475|192034
1475|192035
1475|192036
1475|192037
1475|192038
1475|192039
1475|192040
1475|192041
1475|192042
1475|192043
1475|192044
1475|192045
1475|192046
1475|192047
1475|192048
1475|192049
1475|192050
1475|192051
1475|192052
1480|192096
1480|192097
1480|192098
1480|192099
1480|192100
1480|192101
1480|192102
1480|192103
1480|192104
1480|192105
1480|192106
1480|192107
1480|192108
1480|192109
1480|192110
1481|192111
1481|192112
1481|192113
1481|192114
1481|192115
1481|192116
1481|192117
1481|192118
1491|192194
1491|192195
1491|192196
1492|192197
1492|192198
1492|192199
1492|192200
1492|192201
1492|192202
1492|192203
1492|192204
1492|192205
1492|192206
1492|192207
1492|192208
1494|192215
1494|192216
1494|192217
1494|192218
1494|192219
1494|192220
1494|192221
1495|192222
1495|192223
1495|192224
1495|192225
1495|192226
1495|192227
1495|192228
1495|192229
1495|192230
1495|192231
1495|192232
1495|192233
1495|192234
1495|192235
1495|192236
1496|192237
1496|192238
1496|192239
1496|192240
1497|192241
1498|192242
1498|192243
1498|192244
1498|192245
1498|192246
1498|192247
1498|192248
1498|192249
1498|192250
1498|192251
1499|192252
1499|192253
1499|192254
1499|192255
1499|192256
1499|192257
1499|192258
1499|192259
1501|192280
1501|192281
1507|192356
1507|192357
1507|192358
1507|192359
1507|192360
1507|192361
1507|192362
1509|192369
1517|192446
1517|192447
1517|192448
1517|192449
1517|192450
1517|192451
1517|192452
1517|192453
1517|192454
1517|192455
1517|192456
1517|192457
1517|192458
1517|192459
1517|192460
1518|192461
1518|192462
1518|192463
1518|192464
1518|192465
1518|192466
1518|192467
1518|192468
1518|192469
1518|192470
1518|192471
1518|192472
1518|192473
1518|192474
1518|192475
1526|192571
1526|192572
1526|192573
1526|192574
1526|192575
1526|192576
1526|192577
1529|192591
1529|192592
1529|192593
1529|192594
1529|192595
1529|192596
1532|192625
1532|192626
1532|192627
1532|192628
1532|192629
1532|192630
1533|192631
1533|192632
1533|192633
1533|192634
1533|192635
1533|192636
1533|192637
1533|192638
1534|192639
1534|192640
1534|192641
1534|192642
1534|192643
1534|192644
1534|192645
1534|192646
1534|192647
1534|192648
1534|192649
1534|192650
1535|192651
1535|192652
1535|192653
1535|192654
1535|192655
1535|192656
1535|192657
1535|192658
1535|192659
1535|192660
1535|192661
1535|192662
1538|192672
1538|192673
1538|192674
1538|192675
1538|192676
1538|192677
1538|192678
1538|192679
1538|192680
1538|192681
1538|192682
1538|192683
1538|192684
1538|192685
1538|192686
1538|192687
1539|192688
1539|192689
1539|192690
1539|192691
1539|192692
1539|192693
1539|192694
1539|192695
1539|192696
1539|192697
1539|192698
1539|192699
1539|192700
1539|192701
1539|192702
1539|192703
1542|192730
1548|192790
1548|192791
1548|192792
1548|192793
1548|192794
1548|192795
1548|192796
1548|192797
1548|192798
1548|192799
1549|192800
1549|192801
1549|192802
1549|192803
1549|192804
1549|192805
1549|192806
1550|192807
1550|192808
1550|192809
1550|192810
1550|192811
1550|192812
1550|192813
1550|192814
1550|192815
1550|192816
1560|192887
1560|192888
1560|192889
1560|192890
1560|192891
1560|192892
1560|192893
1560|192894
1560|192895
1560|192896
1560|192897
1560|192898
1560|192899
1560|192900
1560|192901
1560|192902
1560|192903
1560|192904
1560|192905
1560|192906
1563|192922
1563|192923
1563|192924
1563|192925
1563|192926
1563|192927
1563|192928
1563|192929
1563|192930
1563|192931
1563|192932
1563|192933
1563|192934
1563|192935
1563|192936
1563|192937
1563|192938
1563|192939
1563|192940
1563|192941
1566|192947
1566|192948
1566|192949
1566|192950
1566|192951
1566|192952
1566|192953
1566|192954
1566|192955
1566|192956
1566|192957
1566|192958
1566|192959
1566|192960
1566|192961
1566|192962
1566|192963
1566|192964
1566|192965
1566|192966
1567|192967
1567|192968
1567|192969
1567|192970
1567|192971
1567|192972
1567|192973
1567|192974
1567|192975
1567|192976
1567|192977
1567|192978
1567|192979
1567|192980
1567|192981
1567|192982
1567|192983
1567|192984
1567|192985
1567|192986
1571|193014
1579|193083
1579|193084
1579|193085
1579|193086
1579|193087
1579|193088
1582|193094
1582|193095
1582|193096
1582|193097
1582|193098
1582|193099
1582|193100
1582|193101
1582|193102
1582|193103
1584|193115
1584|193116
1584|193117
1584|193118
1584|193119
1584|193120
1585|193121
1585|193122
1585|193123
1585|193124
1585|193125
1585|193126
1585|193127
1585|193128
1585|193129
1585|193130
1585|193131
1585|193132
1585|193133
1585|193134
1585|193135
1585|193136
1585|193137
1585|193138
1587|193149
1587|193150
1587|193151
1587|193152
1587|193153
1587|193154
1587|193155
1587|193156
1589|193157
1589|193158
1589|193159
1589|193160
1589|193161
1589|193162
1589|193163
1592|193181
1592|193182
1592|193183
1592|193184
1592|193185
1592|193186
1592|193187
1592|193188
1593|193189
1595|193190
1597|193211
1597|193212
1597|193213
1597|193214
1601|193269
1601|193270
1601|193271
1601|193272
1602|193273
1602|193274
1602|193275
1602|193276
1602|193277
1602|193278
1602|193279
1602|193280
1603|193281
1603|193282
1603|193283
1603|193284
1603|193285
1603|193286
1603|193287
1604|193288
1604|193289
1604|193290
1604|193291
1609|193366
1609|193367
1610|193368
1610|193369
1610|193370
1610|193371
1610|193372
1610|193373
1612|193381
1612|193382
1612|193383
1612|193384
1612|193385
1612|193386
1612|193387
1612|193388
1612|193389
1612|193390
1612|193391
1612|193392
1612|193393
1612|193394
1612|193395
1612|193396
1612|193397
1612|193398
1612|193399
1615|193431
1615|193432
1615|193433
1615|193434
1615|193435
1615|193436
1615|193437
1615|193438
1615|193439
1615|193440
1615|193441
1615|193442
1615|193443
1615|193444
1615|193445
1615|193446
1615|193447
1615|193448
1615|193449
1618|193478
1618|193479
1618|193480
1618|193481
1618|193482
1618|193483
1618|193484
1618|193485
1618|193486
1618|193487
1618|193488
1618|193489
1618|193490
1618|193491
1618|193492
1618|193493
1618|193494
1621|193509
1621|193510
1623|193527
1623|193528
1623|193529
1623|193530
1624|193531
1624|193532
1624|193533
1624|193534
1624|193535
1624|193536
1624|193537
1624|193538
1624|193539
1624|193540
1624|193541
1624|193542
1624|193543
1624|193544
1624|193545
1624|193546
1624|193547
1624|193548
1624|193549
1626|193570
1626|193571
1626|193572
1626|193573
1626|193574
1626|193575
1626|193576
1630|193604
1630|193605
1630|193606
1630|193607
1630|193608
1630|193609
1630|193610
1630|193611
1630|193612
1630|193613
1630|193614
1632|193627
