Forum_id|Tag_id
1729|23783
2699|23688
2700|23688
3634|24701
3635|24701
3636|24701
3637|24701
3638|24701
3639|24701
3640|24701
3641|24701
3642|24701
3643|24701
3644|24701
3645|24701
3646|24701
3647|24701
3648|24701
3649|24701
3650|24701
3726|24930
3727|24930
3728|24930
3729|24930
3730|24930
3731|24930
3732|24930
3733|24930
3734|24930
4567|25217
4568|25217
4569|25217
4570|25217
4571|25217
4572|25217
4573|25217
4574|25217
6512|24757
8100|23486
8446|24283
8618|25477
8619|25477
8620|25477
8621|25477
8622|25477
8623|25477
8624|25477
8625|25477
8727|23496
8728|23496
9821|25049
9850|25583
9851|25583
9852|25583
9853|25583
9854|25583
9855|25583
9856|25583
9857|25583
9858|25583
9859|25583
9860|25583
9861|25583
9862|25583
9863|25583
9864|25583
9865|25583
9866|25583
9867|25583
9868|25583
9869|25583
9870|25583
9871|25583
9872|25583
9873|25583
9874|25583
9875|25583
11040|23664
