Comment_id1|Comment_id2
39340|39339
39342|39339
39346|39345
39348|39345
39370|39366
39373|39366
39374|39373
39375|39371
39376|39371
39377|39368
39378|39366
39379|39371
39393|39391
39394|39391
39395|39391
39397|39396
39398|39396
39399|39396
39444|39441
39446|39441
39448|39441
39472|39471
39473|39471
39475|39471
39476|39471
39482|39480
39483|39479
39485|39484
39486|39484
39487|39479
39488|39479
39490|39484
39491|39479
39493|39479
39494|39479
39495|39480
39506|39505
39507|39506
39509|39507
39510|39505
39511|39506
39514|39513
39515|39513
39516|39513
39519|39513
39520|39513
39521|39513
39542|39539
39543|39541
39544|39539
39545|39541
39546|39541
39547|39541
39548|39547
39549|39539
39551|39547
39596|39595
39597|39595
39598|39595
39602|39601
39603|39598
39652|39650
39655|39650
39753|39750
39757|39750
39760|39757
39761|39754
39762|39750
39772|39771
39773|39771
39781|39780
39782|39781
39785|39781
39786|39781
39788|39784
39789|39784
39790|39783
39793|39792
39794|39792
39796|39792
39797|39792
39825|39824
39828|39824
39829|39828
39830|39828
39867|39865
39875|39874
39876|39874
39877|39876
39905|39904
39908|39904
39910|39904
39911|39909
39913|39912
39915|39914
39916|39913
39917|39913
39918|39912
39919|39915
39920|39914
39921|39915
39923|39915
39924|39912
39925|39914
39934|39932
39942|39941
39943|39942
39945|39942
39984|39983
39986|39985
39988|39983
39989|39983
39990|39983
39991|39985
39995|39994
39996|39994
39998|39994
39999|39994
40000|39994
40002|39994
40004|39994
40005|40003
40006|39995
40007|40003
40008|40000
40009|39995
40010|40000
40011|40000
40020|40018
40021|40018
40023|40022
40034|40033
40035|40033
40036|40034
40037|40033
40040|40033
40043|40033
40044|40039
40047|40045
40048|40047
40049|40047
40050|40047
40052|40045
40054|40045
40055|40045
40056|40047
40057|40056
40058|40054
40087|40085
40088|40085
40089|40085
40090|40085
40093|40085
40094|40092
40100|40099
40101|40100
40150|40149
40154|40152
40155|40152
40156|40150
40158|40152
40160|40152
40161|40152
40162|40149
40182|40181
40185|40184
40186|40181
40188|40184
40233|40232
40236|40232
40237|40232
40299|40297
40300|40299
40301|40297
40302|40297
40304|40298
40305|40300
40366|40364
40367|40364
40368|40365
40369|40364
40370|40363
