Organisation_id|Place_id
15281|59
15282|59
15283|59
15284|59
15285|59
15286|59
15287|59
15288|60
15289|60
15290|60
15291|60
15292|60
15533|69
15534|69
15535|69
15536|69
15537|69
15538|69
15539|69
15540|69
15541|69
15542|70
15543|70
15544|70
15545|70
15546|70
15547|70
15548|70
15549|70
15550|70
15551|70
15552|70
15553|70
15554|70
15555|70
15556|70
15557|70
15558|70
15559|70
15560|70
15561|70
15562|70
15563|70
15564|70
15565|70
15566|70
15567|70
15568|70
15569|70
15570|70
15571|70
15572|70
15573|9
15574|9
15575|9
15576|9
15577|71
15578|71
15579|71
15580|72
15581|72
15582|72
15583|72
15584|72
15585|72
15586|72
15587|72
15588|72
15628|74
15629|74
15630|74
15631|74
15632|74
15633|74
15634|74
15635|74
15636|74
15637|74
15638|74
15639|74
15640|74
15641|74
15642|74
15643|74
15644|74
15645|74
15646|74
15647|74
15648|74
15649|74
15650|74
15997|83
15998|83
15999|83
16000|83
16001|83
16002|83
16003|83
16004|83
16005|83
16006|83
16007|83
16008|83
16009|19
16010|19
16039|84
16056|25
16057|25
16145|90
16146|90
16147|90
16294|95
16295|95
16296|95
16297|95
16298|95
16299|95
16300|95
16301|95
16302|95
16303|95
16390|39
16391|39
16507|100
16508|100
16509|100
16510|100
16511|100
16512|44
16513|44
16514|44
16515|44
16516|101
16517|101
16518|101
16519|101
16520|101
16521|101
16522|101
16523|101
16524|101
16525|101
16526|101
16527|101
16528|101
16529|101
16530|101
16531|101
16532|101
16533|101
16534|101
16535|101
16536|101
16537|101
16538|101
16539|101
16540|101
16541|101
16542|101
16543|101
16544|101
16545|101
16546|101
16547|101
16548|101
16549|101
16550|101
16551|101
16552|101
16553|101
16573|46
16574|46
16575|46
16576|46
16607|105
16608|105
16609|105
16610|105
16611|105
16612|105
16613|105
16614|105
16615|105
16616|105
16617|105
16618|105
16619|105
16620|105
16621|105
16622|105
16623|105
16624|105
16625|105
16626|105
16627|105
16628|105
16629|105
16630|105
16631|105
16848|109
16849|109
17061|510
17062|510
17063|510
17064|510
17065|510
17066|510
17067|510
17068|510
17069|510
17070|510
17071|510
17072|510
17073|510
17074|510
17075|510
17076|510
17077|510
17078|510
17079|510
17080|510
17274|1020
17275|1020
17276|1020
17285|1020
17286|1020
17304|1020
17318|1020
17319|1020
17320|1020
17321|1020
17322|1020
17323|1020
17324|1020
17325|1020
17326|1020
17327|1020
17328|1020
17329|1020
17330|1020
17331|1020
17369|1020
17370|1020
17371|1020
17372|1020
17373|1020
17374|1020
17375|1020
17376|1020
17377|1020
17378|1020
17379|1020
17380|1020
17386|1020
17387|1020
17410|1020
17411|1020
17412|1020
17413|1020
17414|1020
17415|1020
17416|1020
17417|1020
17418|1020
17422|1020
17423|1020
17424|1020
17852|1111
17870|1111
17901|1111
17902|1423
17903|1423
18304|231
18305|231
18406|165
18509|156
18510|156
18535|119
18536|119
18840|156
18841|156
18842|156
18843|156
18949|165
19192|156
19231|231
19321|165
19352|119
19353|119
19354|119
19355|119
19486|156
19487|156
19508|231
19509|231
19510|231
19617|165
19618|165
19619|165
19656|119
19657|119
19658|119
19795|660
19817|660
19818|660
19819|660
19833|660
19834|660
19835|660
19859|660
19860|660
19881|1166
19882|1166
19883|1166
19884|1166
19885|1166
19886|1166
19889|1166
19894|1166
19895|1166
19898|1166
19899|1166
19900|1166
19901|1166
19902|1166
19903|1166
19904|1166
19905|1166
19906|1166
19910|1166
19913|1166
19914|1166
19915|1166
19916|1166
19917|1166
19918|1166
19919|1166
19920|1166
19921|1166
19927|1166
19928|1166
19930|1166
19931|1166
19932|1166
19933|1166
19934|1166
19935|1166
19940|1166
19941|1166
20045|677
20046|677
20047|674
20048|674
20049|674
20050|674
20062|711
20063|711
20090|677
20092|674
20107|711
20135|677
20136|674
20137|674
20138|674
20170|677
20171|677
20174|674
20273|1207
20288|1207
20306|1207
20550|762
20551|762
20552|762
20553|762
20554|762
20555|762
20556|762
20557|762
20558|762
20559|762
20560|762
20561|762
20562|762
20563|762
20564|762
20651|762
20652|762
20653|762
20654|762
20655|762
20656|762
20657|762
20658|762
20659|762
20660|762
20661|762
20685|762
20686|762
20687|762
20688|762
20689|762
20690|762
20691|762
20692|762
20693|762
20728|762
20729|762
20730|762
20731|762
20732|762
20733|762
20734|762
20735|762
20736|762
20737|762
20738|762
20828|800
20842|819
20843|819
20868|800
20869|800
20870|800
20871|800
20872|800
20875|800
20876|800
20909|800
20910|800
20911|800
20912|800
20913|800
20914|800
20915|800
20916|800
20953|819
20985|819
20986|819
21008|800
21009|800
21010|800
21011|800
21012|800
21013|800
21016|800
21017|800
21030|819
21058|800
21059|800
21060|800
21061|800
21062|800
21063|800
21064|800
21065|800
21066|800
21067|800
21070|800
21071|800
21072|800
21074|800
21222|1305
21223|1305
21235|1305
21249|1305
21250|1305
21253|1305
21254|1305
21255|1305
21305|834
21326|834
21341|847
21342|847
21343|834
21408|847
21448|1325
21469|1325
21470|1325
21672|1365
21690|1365
21694|1365
21705|551
21706|551
21707|551
21708|551
21710|551
21711|551
21712|551
21714|1304
21719|1304
21726|1304
21727|1304
21728|1304
21732|1301
21733|1301
21736|1301
21737|1301
21739|1304
21917|1414
21918|1414
21919|1414
21920|1421
21921|1421
21929|1414
21930|1421
21946|1421
21947|1111
21955|1111
21978|1423
21979|1423
22030|1111
22031|1111
22035|1423
22045|1111
22046|1111
22048|1423
22141|1111
22159|1421
22166|909
22225|878
22226|878
22227|878
22228|878
22229|878
22230|878
22231|878
22232|878
22233|878
22234|878
22244|909
22245|909
22246|909
22247|909
22248|909
22249|909
22254|904
22255|904
22256|904
22257|904
22258|904
22259|904
22260|904
22261|904
22295|878
22325|1111
22334|878
22416|878
22417|878
22418|878
22419|878
22420|878
22421|878
22422|878
22423|878
22424|878
22441|909
22442|909
22443|909
22444|909
22445|909
22446|909
22447|909
22454|904
22455|904
22456|904
22457|904
22458|904
22459|904
22460|904
22461|904
22462|904
22463|904
22464|904
22465|904
22589|878
22590|878
22591|878
22592|878
22593|878
22594|878
22595|878
22596|878
22597|878
22598|878
22599|878
22620|909
22621|909
22622|909
22623|909
22628|904
22629|904
22630|904
22631|904
22632|904
22633|904
22634|904
22635|904
22636|904
22637|904
22638|904
22639|904
22640|904
22641|904
22642|904
22643|904
22810|551
22812|909
22876|1111
22877|1111
22878|1111
22897|1421
22969|878
22973|878
22974|878
22975|878
22976|878
22977|878
22978|878
22992|909
22993|909
22994|909
22995|909
22996|909
22997|909
23001|904
23002|904
23086|551
