id|name|url
28109|Who_Are_You|http://dbpedia.org/resource/Who_Are_You
28110|Images_and_Words|http://dbpedia.org/resource/Images_and_Words
28112|Eye_Dance|http://dbpedia.org/resource/Eye_Dance
28116|OnMyRadio|http://dbpedia.org/resource/OnMyRadio
28117|Someday_at_Christmas|http://dbpedia.org/resource/Someday_at_Christmas
28120|Primitive_Love|http://dbpedia.org/resource/Primitive_Love
28125|Orange_Ave.|http://dbpedia.org/resource/Orange_Ave.
28129|Lost_in_the_Sound_of_Separation|http://dbpedia.org/resource/Lost_in_the_Sound_of_Separation
28132|Smoke_N_Mirrors|http://dbpedia.org/resource/Smoke_N_Mirrors
28134|Chrome_Dreams_II|http://dbpedia.org/resource/Chrome_Dreams_II
28136|Songs_for_You,_Truths_for_Me|http://dbpedia.org/resource/Songs_for_You,_Truths_for_Me
28137|Giving_You_the_Best_That_I_Got|http://dbpedia.org/resource/Giving_You_the_Best_That_I_Got
28141|Ten_Thousand_Lightyears|http://dbpedia.org/resource/Ten_Thousand_Lightyears
28149|Rethroned|http://dbpedia.org/resource/Rethroned
28150|Guitar_Heaven:_The_Greatest_Guitar_Classics_of_All_Time|http://dbpedia.org/resource/Guitar_Heaven:_The_Greatest_Guitar_Classics_of_All_Time
28151|Crash_Love|http://dbpedia.org/resource/Crash_Love
28152|Different_Gear,_Still_Speeding|http://dbpedia.org/resource/Different_Gear,_Still_Speeding
28154|Ocean_Eyes|http://dbpedia.org/resource/Ocean_Eyes
28160|Order_of_the_Black|http://dbpedia.org/resource/Order_of_the_Black
28161|Malice_n_Wonderland|http://dbpedia.org/resource/Malice_n_Wonderland
28162|Success_Is_Certain|http://dbpedia.org/resource/Success_Is_Certain
28163|The_Imagine_Project|http://dbpedia.org/resource/The_Imagine_Project
28164|England_Keep_My_Bones|http://dbpedia.org/resource/England_Keep_My_Bones
28165|Streets_of_Gold|http://dbpedia.org/resource/Streets_of_Gold
28166|My_Kinda_Party|http://dbpedia.org/resource/My_Kinda_Party
28167|Sex_Therapy|http://dbpedia.org/resource/Sex_Therapy
28169|This_Is_Country_Music|http://dbpedia.org/resource/This_Is_Country_Music
28170|Hard_Times_and_Nursery_Rhymes|http://dbpedia.org/resource/Hard_Times_and_Nursery_Rhymes
28171|Shaolin_vs._Wu-Tang|http://dbpedia.org/resource/Shaolin_vs._Wu-Tang
28173|The_Downward_Spiral|http://dbpedia.org/resource/The_Downward_Spiral
28175|Showtunes|http://dbpedia.org/resource/Showtunes
