Forum_id|Person_id|joinDate
1460|191225|0
1460|190899|0
1460|190768|0
1461|190768|0
1462|191225|0
1463|190768|0
1465|191225|0
1466|191225|0
1466|190899|0
1470|191225|0
1470|190768|0
1472|190899|0
1473|191225|0
1473|190768|0
1474|190899|0
1475|191225|0
1475|190899|0
1475|190768|0
1476|190899|0
1476|190768|0
1477|191225|0
1477|190899|0
1477|190768|0
1478|191225|0
1478|190899|0
1479|191225|0
1479|190899|0
1480|191225|0
1480|190899|0
1480|190768|0
1481|190899|0
1481|190768|0
1482|191225|0
1483|191225|0
1483|190899|0
1483|190768|0
1484|191225|0
1484|190899|0
1485|190768|0
1486|191225|0
1489|191225|0
1489|190899|0
1489|190768|0
1490|191225|0
1490|190899|0
1490|190768|0
1492|190768|0
1493|190899|0
1493|190768|0
1494|190899|0
1495|190768|0
1496|190787|0
1496|190754|0
1496|191492|0
1496|191205|0
1496|191276|0
1496|191529|0
1496|191860|0
1497|191744|0
1497|190885|0
1498|190942|0
1498|190651|0
1498|190737|0
1498|190413|0
1498|191112|0
1498|190776|0
1498|190657|0
1498|190555|0
1498|190507|0
1498|191065|0
1498|191205|0
1498|191182|0
1499|190995|0
1499|190954|0
1499|190787|0
1499|191257|0
1499|190671|0
1499|190885|0
1499|190713|0
1499|191205|0
1499|191409|0
1500|190954|0
1500|191257|0
1500|190671|0
1500|190713|0
1500|191205|0
1501|190995|0
1501|190954|0
1501|191257|0
1501|190885|0
1501|190713|0
1501|191205|0
1503|190995|0
1503|190954|0
1503|191257|0
1503|190671|0
1503|190885|0
1503|190713|0
1504|190787|0
1504|190671|0
1504|190885|0
1504|190713|0
1505|190885|0
1505|191205|0
1506|190995|0
1506|190954|0
1506|190787|0
1506|191257|0
1506|190671|0
1506|191409|0
1507|190995|0
1507|190954|0
1507|190787|0
1507|191257|0
1507|191409|0
1508|190954|0
1508|190787|0
1508|191257|0
1508|190885|0
1508|191205|0
1508|191409|0
1509|190995|0
1509|190954|0
1509|190787|0
1509|191257|0
1509|190671|0
1509|190713|0
1510|190995|0
1510|190954|0
1510|190885|0
1510|190713|0
1510|191409|0
1511|190885|0
1512|191257|0
1512|190885|0
1514|190954|0
1514|190787|0
1514|191205|0
1515|190995|0
1515|190954|0
1515|190787|0
1515|191257|0
1515|190885|0
1516|190954|0
1516|190787|0
1516|191257|0
1516|190671|0
1516|190713|0
1516|191205|0
1516|191409|0
1517|190954|0
