Person_id1|Person_id2|creationDate
190359|191225|0
190359|190899|0
190359|190768|0
190360|190787|0
190360|190754|0
190360|191492|0
190360|191205|0
190360|191276|0
190360|191529|0
190360|191860|0
190361|191744|0
190361|190885|0
190362|190651|0
190362|190737|0
190362|190413|0
190362|191112|0
190362|190776|0
190362|190657|0
190362|190555|0
190362|190507|0
190362|191065|0
190362|191205|0
190362|191182|0
190363|191257|0
190363|190671|0
190363|190885|0
190363|190713|0
190363|191205|0
190363|191409|0
190364|190488|0
190364|191530|0
190365|190836|0
190365|191689|0
190365|191306|0
190366|190797|0
190366|190935|0
190367|191307|0
190367|191340|0
190367|191341|0
190367|191049|0
190367|191290|0
190367|190937|0
190367|190973|0
190367|190940|0
190367|191471|0
190367|191593|0
190367|191858|0
190367|190661|0
190368|191351|0
190368|190507|0
190368|190523|0
190368|191860|0
190369|191860|0
190371|190940|0
190372|191695|0
190372|190725|0
190372|191809|0
190372|191317|0
190372|191090|0
190372|190806|0
190372|190856|0
190372|190554|0
190372|190435|0
190372|191754|0
190372|190809|0
190372|191689|0
190372|191871|0
190372|191529|0
190372|190602|0
190372|191681|0
190372|191471|0
190373|191255|0
190373|190566|0
190373|190804|0
190373|191092|0
190373|190660|0
190374|190737|0
190374|191793|0
190374|191400|0
190374|190805|0
190374|191539|0
190374|190509|0
190374|190769|0
190374|190922|0
190375|190791|0
190375|190868|0
190375|190773|0
190375|190502|0
190375|190569|0
190375|191032|0
190375|190947|0
190375|191537|0
190375|190743|0
190375|190555|0
190375|191231|0
190375|191232|0
190375|191870|0
190375|191304|0
190375|190556|0
190375|191738|0
190375|191431|0
190375|190891|0
190375|191855|0
190375|191590|0
190375|191095|0
190375|190936|0
190375|191609|0
190375|190509|0
190375|191529|0
190375|190769|0
190375|191858|0
190376|191868|0
190376|190454|0
190376|191494|0
190376|190935|0
190376|191529|0
190376|191394|0
190376|191860|0
190376|191344|0
190377|191306|0
190377|191622|0
190377|191205|0
190378|190873|0
190378|191291|0
190378|191022|0
190378|191130|0
190379|191050|0
190379|190892|0
190379|191470|0
190379|190508|0
190379|190421|0
190379|190904|0
190379|191416|0
190379|191417|0
190379|190371|0
190379|191354|0
190379|191472|0
190379|191860|0
190379|191729|0
190380|190973|0
190380|190940|0
190380|191860|0
190383|191686|0
190383|191400|0
190383|190669|0
190383|191142|0
190383|191242|0
190383|190945|0
190383|190884|0
190383|191583|0
190383|191868|0
190383|191509|0
190383|190743|0
190383|190436|0
190383|190505|0
190383|190440|0
190383|191407|0
190383|191205|0
190383|190838|0
190383|190873|0
190383|191573|0
190383|190379|0
190383|191207|0
190383|191007|0
190383|191608|0
190383|190421|0
190383|190973|0
190383|191416|0
190383|191052|0
190383|190940|0
190383|191593|0
190383|191480|0
190383|191355|0
190385|191404|0
190385|190805|0
