Comment_id|Post_id
39636|193119
39637|193119
39638|193119
39639|193119
39640|193119
39641|193119
39644|193119
39645|193119
40059|193237
40065|193237
40073|193237
40075|193237
40246|193257
40247|193257
40248|193257
40250|193257
40251|193257
40256|193257
40314|193264
40317|193264
40318|193264
40319|193264
40320|193264
40324|193264
40957|193704
40958|193704
40959|193704
40960|193704
40961|193704
40962|193704
40963|193704
40969|193704
41081|193877
41082|193877
41083|193877
41084|193877
41085|193877
41086|193877
41087|193877
41306|194383
41309|194383
41312|194383
41314|194383
41506|194406
41507|194406
41508|194406
41512|194406
41750|194696
41751|194696
41752|194696
41756|194696
41761|194696
41764|194696
42051|195556
42052|195556
42054|195556
42057|195556
42060|195556
42297|195580
42298|195580
42299|195580
42300|195580
42301|195580
42302|195580
42303|195580
42378|195586
42379|195586
42381|195586
42382|195586
42389|195586
42390|195586
42394|195586
42600|195610
42601|195610
42602|195610
42603|195610
42605|195610
42623|195614
42624|195614
42627|195614
42629|195614
42661|195619
42662|195619
42663|195619
42664|195619
42665|195619
42668|195619
42678|195620
42679|195620
42680|195620
42681|195620
42682|195620
42684|195620
43084|196362
43094|196362
43099|196362
43217|196522
43218|196522
43219|196522
43220|196522
43221|196522
43222|196522
43224|196522
43226|196522
43229|196522
43308|196529
43309|196529
43310|196529
43311|196529
43312|196529
43313|196529
43314|196529
43315|196529
43316|196529
43318|196529
43437|196540
43438|196540
43439|196540
43440|196540
43441|196540
43443|196540
43445|196540
43448|196540
43449|196540
43451|196540
43453|196540
44116|197559
44117|197559
44119|197559
44120|197559
44123|197559
44125|197559
44201|197569
44202|197569
44203|197569
44205|197569
44206|197569
44381|197890
44382|197890
44388|197890
44390|197890
44614|198387
44615|198387
44616|198387
44617|198387
44687|198395
44688|198395
44690|198395
44695|198395
44699|198395
44917|198737
44918|198737
44919|198737
44920|198737
44921|198737
44922|198737
44923|198737
44924|198737
44926|198737
45161|199020
45162|199020
45163|199020
45171|199020
45193|199023
45194|199023
45195|199023
45197|199023
45205|199023
45390|199174
45391|199174
45392|199174
45427|199178
45428|199178
45432|199178
45442|199178
45443|199178
45447|199180
45448|199180
45449|199180
45550|199191
45551|199191
45552|199191
45553|199191
45554|199191
45555|199191
45557|199191
45558|199191
45566|199191
45709|199207
45710|199207
45711|199207
45720|199207
45722|199207
45851|199874
45852|199874
45853|199874
45854|199874
45855|199874
45856|199874
45858|199874
45859|199874
45862|199874
45865|199874
46031|200198
46034|200198
46036|200198
46038|200198
46043|200198
46049|200198
46394|200811
46395|200811
46398|200811
46400|200811
46402|200811
46785|201189
46786|201189
46787|201189
46788|201189
46789|201189
46790|201189
46791|201189
46792|201189
46793|201189
46794|201189
47379|201794
47380|201794
47384|201794
47385|201794
47387|201794
47666|202253
47668|202253
47671|202253
47674|202253
