id|name|url|type
83|Kenya|http://dbpedia.org/resource/Kenya|country
90|Niger|http://dbpedia.org/resource/Niger|country
69|Chile|http://dbpedia.org/resource/Chile|country
65|Burma|http://dbpedia.org/resource/Burma|country
84|Madagascar|http://dbpedia.org/resource/Madagascar|country
71|Cuba|http://dbpedia.org/resource/Cuba|country
74|Egypt|http://dbpedia.org/resource/Egypt|country
59|Afghanistan|http://dbpedia.org/resource/Afghanistan|country
109|Yemen|http://dbpedia.org/resource/Yemen|country
72|Czech_Republic|http://dbpedia.org/resource/Czech_Republic|country
101|Sweden|http://dbpedia.org/resource/Sweden|country
95|Romania|http://dbpedia.org/resource/Romania|country
70|Colombia|http://dbpedia.org/resource/Colombia|country
105|Turkey|http://dbpedia.org/resource/Turkey|country
60|Algeria|http://dbpedia.org/resource/Algeria|country
19|Laos|http://dbpedia.org/resource/Laos|country
100|Sri_Lanka|http://dbpedia.org/resource/Sri_Lanka|country
44|Swaziland|http://dbpedia.org/resource/Swaziland|country
9|Croatia|http://dbpedia.org/resource/Croatia|country
31|Northern_Ireland|http://dbpedia.org/resource/Northern_Ireland|country
25|Mauritania|http://dbpedia.org/resource/Mauritania|country
46|Tajikistan|http://dbpedia.org/resource/Tajikistan|country
12|El_Salvador|http://dbpedia.org/resource/El_Salvador|country
39|Rwanda|http://dbpedia.org/resource/Rwanda|country
762|Lahore|http://dbpedia.org/resource/Lahore|city
1020|Toronto|http://dbpedia.org/resource/Toronto|city
904|Boston|http://dbpedia.org/resource/Boston|city
1166|Tehran|http://dbpedia.org/resource/Tehran|city
800|Manila|http://dbpedia.org/resource/Manila|city
878|Gainesville|http://dbpedia.org/resource/Gainesville|city
510|Baku|http://dbpedia.org/resource/Baku|city
909|St._Louis|http://dbpedia.org/resource/St._Louis|city
1111|Manchester|http://dbpedia.org/resource/Manchester|city
1414|Dnipropetrovsk|http://dbpedia.org/resource/Dnipropetrovsk|city
1301|Hsinchu|http://dbpedia.org/resource/Hsinchu|city
1421|Odessa|http://dbpedia.org/resource/Odessa|city
819|Makati|http://dbpedia.org/resource/Makati|city
231|Thanjavur|http://dbpedia.org/resource/Thanjavur|city
1304|Tainan|http://dbpedia.org/resource/Tainan|city
677|Chiyoda|http://dbpedia.org/resource/Chiyoda|city
1423|Liverpool|http://dbpedia.org/resource/Liverpool|city
165|Orissa|http://dbpedia.org/resource/Orissa|city
1305|Bucharest|http://dbpedia.org/resource/Bucharest|city
156|Durgapur|http://dbpedia.org/resource/Durgapur|city
551|Geneva|http://dbpedia.org/resource/Geneva|city
674|Nagoya|http://dbpedia.org/resource/Nagoya|city
119|Shillong|http://dbpedia.org/resource/Shillong|city
660|Bandung|http://dbpedia.org/resource/Bandung|city
847|Omsk|http://dbpedia.org/resource/Omsk|city
834|Vladivostok|http://dbpedia.org/resource/Vladivostok|city
1365|Uppsala|http://dbpedia.org/resource/Uppsala|city
1325|Durban|http://dbpedia.org/resource/Durban|city
711|Kagoshima|http://dbpedia.org/resource/Kagoshima|city
1207|Cyberjaya|http://dbpedia.org/resource/Cyberjaya|city
