Tag_id|TagClass_id
23237|15211
23239|15215
23240|15215
23241|15215
23243|15219
23245|15211
23248|15225
23249|15225
23250|15225
23252|15225
23253|15225
23254|15225
23255|15225
23256|15225
23257|15225
23260|15228
23262|15211
23263|15225
23264|15225
23265|15225
23266|15225
23267|15225
23268|15229
23270|15225
23271|15225
23272|15225
23273|15225
23278|15228
23279|15225
23280|15225
23281|15225
23283|15225
23284|15225
23285|15225
23288|15225
23289|15225
23290|15225
23292|15225
23293|15225
23295|15211
23296|15225
23298|15225
23301|15228
23303|15211
23304|15225
23306|15225
23307|15211
23308|15211
23311|15229
23312|15229
23314|15225
23315|15228
23316|15211
23317|15225
23319|15211
23320|15228
23321|15225
23322|15225
23323|15211
23324|15225
23325|15228
23326|15228
23327|15232
23328|15211
23329|15225
23331|15225
23332|15225
23333|15225
23334|15211
23336|15211
23337|15225
23339|15228
23340|15211
23341|15211
23342|15211
23343|15211
23344|15225
23345|15225
23346|15211
23350|15211
23351|15225
23353|15211
23355|15219
23357|15225
23358|15233
23360|15225
23364|15225
23368|15211
23370|15225
23372|15225
23373|15211
23375|15211
23377|15211
23378|15211
23379|15211
23380|15215
23381|15215
23382|15211
23383|15215
23384|15211
23385|15215
23386|15211
23387|15225
23388|15215
23389|15211
23390|15211
23391|15211
23392|15219
23393|15211
23394|15211
23395|15215
23396|15215
23397|15225
23398|15215
23399|15215
23400|15229
23401|15225
23402|15225
23403|15211
23404|15215
23405|15211
23406|15215
23407|15229
23408|15225
23409|15215
23410|15235
23411|15215
23412|15215
23413|15211
23414|15225
23415|15229
23416|15228
23417|15215
23418|15219
23419|15215
23420|15225
23421|15211
23422|15225
23423|15236
23424|15215
23425|15229
23426|15211
23427|15211
23428|15235
23429|15211
23430|15211
23432|15225
23433|15225
23434|15221
23436|15225
23437|15211
23438|15225
23439|15225
23441|15215
23442|15215
23443|15211
23444|15225
23445|15215
23446|15225
23447|15225
23448|15211
23449|15225
23450|15228
23451|15215
23453|15229
23454|15228
23455|15211
23456|15225
23457|15215
23458|15215
23460|15229
23462|15219
23463|15221
23465|15225
23467|15225
23468|15225
23469|15225
23470|15225
23471|15211
23472|15228
23473|15225
23474|15215
23475|15215
23476|15225
23477|15211
23480|15225
23481|15225
23485|15225
23487|15225
23488|15215
23489|15228
23491|15228
23492|15228
23493|15211
23495|15211
23496|15215
23497|15211
23498|15225
23500|15225
23501|15225
23504|15225
23506|15211
23507|15225
23510|15228
23511|15215
23512|15225
23513|15228
23514|15228
23515|15228
23517|15228
23519|15228
23520|15228
23521|15228
23522|15228
23523|15211
23525|15240
23527|15228
23529|15211
23531|15211
23532|15228
23533|15228
23534|15228
23535|15228
23536|15228
23537|15211
23538|15228
23539|15211
23540|15228
23544|15211
23545|15211
23546|15228
23547|15211
23548|15229
23549|15211
23550|15228
23551|15211
23552|15211
23553|15233
23555|15225
23556|15225
23557|15211
23558|15240
23559|15241
23560|15228
23563|15228
23564|15211
23565|15211
23567|15211
23568|15211
23569|15211
23570|15211
23574|15219
23575|15211
23576|15228
23579|15228
23580|15233
23582|15211
23583|15228
23584|15211
23585|15240
23587|15225
23588|15240
23589|15211
23591|15240
23592|15228
23593|15211
23595|15235
23596|15228
23597|15211
23598|15211
23599|15211
23601|15240
23602|15211
23605|15233
23606|15240
23607|15240
23608|15211
23609|15228
23611|15211
23612|15211
23613|15240
23614|15240
23615|15211
23616|15211
23617|15211
23618|15211
23621|15225
23622|15225
23623|15233
23624|15211
23625|15240
23626|15211
23627|15211
23628|15211
23629|15211
23630|15228
23631|15240
23634|15228
23636|15211
23638|15211
23639|15211
23640|15211
23641|15225
23642|15228
23643|15228
23645|15225
23646|15225
23648|15225
23649|15225
23650|15211
23654|15219
23657|15211
