Person_id|Organisation_id|workFrom
190425|15314|0
190425|15305|0
190425|15307|0
190425|15309|0
190425|15805|0
190528|16802|0
190528|16739|0
190528|16760|0
190528|16810|0
190528|16751|0
190533|15777|0
190533|15795|0
190533|15574|0
190539|15302|0
190539|15311|0
190539|15312|0
190612|15303|0
190612|15312|0
190649|16821|0
190649|16823|0
190649|16825|0
190649|16827|0
190649|16831|0
190666|15328|0
190791|15313|0
190791|15308|0
190826|16500|0
190826|16473|0
190966|16385|0
190966|16353|0
190966|16329|0
190972|16274|0
190972|16267|0
191056|15308|0
191103|16385|0
191142|16273|0
191142|16274|0
191142|16271|0
191160|15308|0
191173|15304|0
191173|15305|0
191173|15308|0
191234|15809|0
191234|15806|0
191234|15807|0
191234|15808|0
191339|15574|0
191440|15302|0
191440|15308|0
191461|15313|0
191461|15303|0
191461|15312|0
191480|15913|0
191480|15914|0
191480|15899|0
191487|16497|0
191487|16485|0
191487|16473|0
191487|16480|0
191488|15302|0
191488|15306|0
191488|15307|0
191488|15310|0
191492|16262|0
191492|16254|0
191504|16259|0
191504|16260|0
191504|16254|0
191545|15809|0
191545|15810|0
191545|15812|0
191545|15806|0
191589|15329|0
191589|15316|0
191589|15327|0
191589|15328|0
191818|16804|0
191818|16810|0
191818|16736|0
191821|16259|0
191821|16260|0
191827|15939|0
191827|15943|0
191827|15899|0
191827|15904|0
191857|15314|0
191857|15308|0
