Person_id|Organisation_id|classYear
190365|17490|0
190366|16877|0
190367|20549|0
190377|18111|0
190386|18288|0
190393|18111|0
190398|23181|0
190399|17487|0
190402|22078|0
190403|19796|0
190408|20777|0
190410|17134|0
190411|21266|0
190427|20272|0
190441|17487|0
190452|21229|0
190453|17139|0
190458|18288|0
190460|18288|0
190461|18116|0
190463|19870|0
190470|19799|0
190471|20810|0
190472|18110|0
190474|18288|0
190482|17490|0
190485|18114|0
190486|20024|0
190487|19796|0
190490|20777|0
190496|17234|0
190498|19870|0
190505|18288|0
190507|17664|0
190510|22079|0
190511|17490|0
190514|21228|0
190515|17487|0
190522|20810|0
190527|21714|0
190528|22080|0
190534|17487|0
190540|23181|0
190541|22079|0
190544|18116|0
190546|23181|0
190550|20469|0
190553|20030|0
190564|18117|0
190569|17139|0
190570|18117|0
190571|17132|0
190576|20279|0
190578|20545|0
190580|20516|0
190588|17666|0
190591|17239|0
190599|17132|0
190601|21774|0
190603|17487|0
190605|19797|0
190607|18288|0
190615|20803|0
190622|21431|0
190637|19799|0
190639|17719|0
190647|20272|0
190651|17666|0
190653|20272|0
190654|20803|0
190655|17730|0
190664|18288|0
190668|17490|0
190690|21774|0
190692|20272|0
190693|17490|0
190697|20545|0
190706|21430|0
190710|20030|0
190714|19798|0
190719|21266|0
190720|21266|0
190728|20279|0
190738|18288|0
190739|18110|0
190744|17490|0
190747|22084|0
190749|17666|0
190752|20544|0
190756|20803|0
190759|21431|0
190760|20544|0
190762|17487|0
190763|23235|0
190771|21267|0
190785|18111|0
190787|18110|0
190792|17234|0
190800|17137|0
190803|17239|0
190806|19798|0
190808|17487|0
190816|19796|0
190823|21431|0
190834|20272|0
190838|20272|0
190849|19870|0
190850|19798|0
190858|18268|0
190859|20272|0
190860|21269|0
190869|20272|0
190874|21268|0
190875|19796|0
190889|20469|0
190897|17487|0
190899|18112|0
190906|16877|0
190908|17131|0
190915|20546|0
190916|20327|0
190923|18114|0
190929|20516|0
190931|17135|0
190932|20546|0
190935|17137|0
190937|17719|0
190939|20452|0
190943|17490|0
190944|21231|0
190954|22080|0
190956|19797|0
190959|20327|0
190963|20029|0
190971|20516|0
190977|17459|0
190980|17139|0
190982|17139|0
190991|22079|0
191005|21229|0
191010|21228|0
191011|17459|0
191012|17132|0
191014|20807|0
191016|17490|0
191017|18288|0
191018|20549|0
191026|23235|0
191027|20028|0
191033|21229|0
191034|20031|0
191035|20031|0
191043|17730|0
191048|20810|0
191052|20029|0
191062|18288|0
191065|17137|0
191067|17134|0
191068|23235|0
191072|20030|0
191077|20279|0
191080|19797|0
191083|18288|0
191092|17490|0
191104|17135|0
191109|17234|0
191114|20028|0
191118|17490|0
191125|22084|0
191130|17487|0
191151|20807|0
191155|21714|0
191156|18288|0
191165|17487|0
191168|18112|0
191169|18288|0
191175|20272|0
191177|17719|0
191180|17131|0
191196|19792|0
191202|20547|0
191205|17136|0
191206|18268|0
191212|22078|0
191214|23181|0
191218|17487|0
191220|18288|0
191224|21774|0
191229|18288|0
191230|18109|0
191235|20028|0
191245|23181|0
191250|19798|0
191256|20321|0
191261|21231|0
191263|20272|0
191276|17134|0
191285|18288|0
191287|20328|0
191291|17487|0
191293|23235|0
191294|21430|0
191295|18112|0
191299|17487|0
191318|17490|0
191326|17490|0
191329|23180|0
191333|20549|0
191340|20546|0
191344|21229|0
191347|18112|0
191348|17135|0
191349|17490|0
191351|20328|0
191353|17490|0
191356|21267|0
191363|19792|0
191365|20469|0
191378|20024|0
191383|19797|0
191384|20546|0
191393|17136|0
191394|21265|0
191397|16877|0
191398|19792|0
191401|20024|0
191408|21269|0
191414|21228|0
191418|21231|0
191419|20029|0
191423|21228|0
191428|21430|0
191430|17487|0
191437|18116|0
191443|18110|0
191445|19797|0
191449|20547|0
191451|20807|0
191452|21714|0
191457|17487|0
191459|18288|0
191460|23180|0
191462|22080|0
191463|20547|0
191470|20807|0
191471|20549|0
191485|21265|0
191489|18109|0
191491|17132|0
191508|23180|0
191513|18288|0
191530|20328|0
191532|20327|0
191540|17234|0
191548|17139|0
191562|21268|0
191564|17136|0
191565|22078|0
191570|17487|0
191571|17664|0
191575|21269|0
191579|21267|0
191581|17487|0
191587|17459|0
191594|17134|0
191606|19799|0
191608|20803|0
191609|21265|0
191610|20544|0
191611|17487|0
191617|17490|0
191619|20452|0
191621|17490|0
191639|17131|0
191640|20469|0
191644|18268|0
191646|19796|0
191651|18114|0
191652|22079|0
191661|20777|0
191662|17487|0
191664|20272|0
191665|20024|0
191668|17664|0
191670|17487|0
191673|20328|0
191677|18109|0
191678|20321|0
191680|17135|0
191682|18288|0
191718|20327|0
191720|20452|0
191726|21430|0
191727|20547|0
191728|20545|0
191730|19799|0
191732|22079|0
191737|18116|0
191738|21268|0
191741|18288|0
191745|21269|0
191747|21430|0
191759|18110|0
191760|17490|0
191761|20272|0
191767|17490|0
191770|18288|0
191771|17490|0
191773|22078|0
191775|23180|0
191782|18288|0
191783|17132|0
191792|20544|0
191793|18117|0
191801|19799|0
191802|17487|0
191803|20031|0
191804|17730|0
191816|20810|0
191822|17459|0
191830|17239|0
191831|17487|0
191833|20321|0
191834|20327|0
191839|18111|0
191845|20279|0
191848|20272|0
191852|22084|0
191853|21269|0
191865|20028|0
191869|20028|0
191870|17135|0
191882|20321|0
