Comment_id|Post_id
39380|192240
39381|192240
39383|192240
39386|192240
39387|192240
39402|192243
39403|192243
39404|192243
39405|192243
39409|192243
39412|192243
39416|192243
39417|192243
39418|192244
39419|192244
39420|192244
39421|192244
39426|192244
39427|192244
39429|192244
39430|192244
39432|192244
39433|192244
39497|192252
39500|192252
39501|192252
39502|192252
39504|192252
39525|193106
39526|193106
39527|193106
39530|193107
39531|193107
39532|193107
39533|193107
39534|193107
39535|193107
39536|193107
39537|193107
39552|193109
39553|193109
39554|193109
39555|193109
39557|193109
39559|193109
39575|193111
39576|193111
39577|193111
39579|193111
39580|193111
39583|193112
39584|193112
39585|193112
39588|193112
39590|193112
39604|193115
39605|193115
39606|193115
39608|193115
39609|193115
39610|193115
39611|193115
39612|193115
39617|193115
39620|193116
39621|193116
39624|193116
39625|193116
39627|193116
39628|193117
39629|193117
39632|193117
39695|193192
39696|193192
39697|193192
39698|193192
39699|193192
39700|193192
39763|193197
39764|193197
39765|193197
39774|193200
39775|193200
39778|193200
39831|193208
39832|193208
39833|193208
39834|193208
39835|193208
39839|193208
39840|193208
39841|193208
39852|193215
39853|193215
39856|193215
39857|193216
39858|193216
39861|193216
39947|193226
39948|193226
39949|193226
39950|193226
39952|193226
39954|193226
39958|193226
40076|193238
40077|193238
40078|193238
40079|193238
40080|193238
40081|193238
40104|193243
40105|193243
40106|193243
40107|193243
40108|193243
40111|193245
40112|193245
40113|193245
40114|193245
40115|193245
40116|193245
40125|193245
40163|193248
40164|193248
40165|193248
40167|193248
40168|193248
40169|193248
40172|193248
40175|193248
40226|193254
40238|193256
40239|193256
40240|193256
40244|193256
40257|193258
40258|193258
40259|193258
40260|193258
40261|193258
40262|193258
40306|193263
40307|193263
40308|193263
40310|193263
40347|193266
40348|193266
40352|193267
40353|193267
40354|193267
40355|193267
40356|193267
40358|193267
40440|193621
40441|193621
40442|193621
40443|193621
40444|193621
40445|193621
40464|193624
40466|193624
40467|193624
40468|193624
40471|193624
40543|193667
40544|193667
40545|193667
40546|193667
40559|193669
40562|193669
40563|193669
40564|193669
40566|193671
40567|193671
40568|193671
40569|193671
40570|193671
40571|193671
40573|193671
40637|193678
40639|193678
41075|193876
41076|193876
41077|193876
41078|193876
41079|193876
41080|193876
41088|193878
41154|193885
41155|193885
41156|193885
41157|193885
41174|194045
41175|194045
41176|194045
41180|194045
41183|194045
41184|194045
41185|194045
41191|194045
41193|194045
41213|194131
41214|194131
41215|194131
41216|194131
41217|194131
41249|194376
41250|194376
41252|194376
41258|194376
41259|194376
41332|194385
41333|194385
41334|194385
41336|194385
41340|194386
41344|194386
41345|194387
41346|194387
41347|194387
41348|194387
41349|194387
41350|194387
41437|194398
41438|194398
41465|194401
41467|194401
41468|194401
41471|194401
41490|194404
41491|194404
41492|194404
41666|194688
41667|194688
41668|194688
41677|194689
41679|194689
41680|194689
41681|194689
41889|195335
41891|195335
41892|195335
41896|195335
41900|195336
41901|195336
41902|195336
41903|195336
41904|195336
41906|195336
41963|195342
41964|195342
41969|195342
41970|195342
41971|195342
41973|195342
42115|195562
42116|195562
42117|195562
42118|195562
42119|195562
42120|195562
42121|195562
42122|195562
42123|195563
42124|195563
42125|195563
42126|195563
42127|195563
42130|195563
42133|195563
42136|195563
42140|195564
42141|195564
42142|195564
42143|195564
42144|195564
42146|195566
42147|195566
42148|195566
42149|195566
42150|195566
42152|195566
42154|195567
42155|195567
42156|195567
42157|195567
42158|195567
42159|195567
42160|195567
42162|195567
42335|195583
42336|195583
42337|195583
42338|195583
42342|195583
42343|195583
42344|195583
42346|195583
42347|195583
42351|195584
42352|195584
42395|195587
42396|195587
42397|195587
42398|195587
42399|195587
42400|195587
42401|195588
42402|195588
42403|195588
42404|195588
42405|195588
42421|195590
42422|195590
42423|195590
42424|195590
42427|195590
42430|195590
42433|195590
42434|195591
42435|195591
42436|195591
42440|195592
42441|195592
42442|195592
42444|195592
42511|195599
42514|195599
42515|195599
42517|195602
42519|195602
42521|195602
42525|195603
