Person_id|Place_id
190362|1062
190368|724
190370|876
190371|1176
190376|841
190377|598
190384|599
190387|1368
190389|1014
190391|637
190393|617
190395|1162
190402|902
190405|1064
190406|1078
190407|969
190408|1273
190409|567
190411|858
190417|1104
190419|726
190426|1058
190428|851
190432|502
190445|593
190448|426
190452|1306
190453|591
190458|287
190459|543
190460|238
190461|612
190467|713
190470|651
190471|801
190478|1178
190480|590
190483|1151
190485|618
190486|684
190494|1014
190497|1331
190498|1163
190499|902
190507|1060
190512|1285
190513|130
190519|1416
190520|1385
190522|805
190525|1016
190529|1215
190530|787
190532|305
190533|1147
190535|605
190539|976
190544|605
190548|410
190553|703
190554|253
190556|1340
190557|796
190559|1410
190560|805
190562|695
190566|426
190567|537
190568|957
190570|617
190571|591
190574|796
190576|1216
190577|1151
190579|1242
190581|805
190582|1273
190588|1064
190589|1163
190598|1209
190599|572
190601|1390
190602|266
190604|133
190607|255
190610|1341
190616|528
190619|449
190620|537
190623|262
190626|1415
190627|204
190630|985
190633|1014
190634|1363
190635|642
190636|1416
190638|342
190639|1074
190640|708
190651|1062
190655|1080
190658|275
190660|225
190662|1131
190663|267
190664|180
190668|491
190670|1189
190671|572
190672|237
190684|541
190689|363
190691|745
190693|411
190699|1254
190700|189
190701|177
190705|853
190708|1410
190710|679
190712|1151
190713|363
190715|750
190720|858
190722|958
190724|618
190726|708
190727|520
190730|289
190731|1282
190743|772
190747|876
190748|1251
190749|1064
190753|225
190754|1370
190755|255
190763|1452
190766|411
190768|1411
190770|1189
190771|866
190774|172
190777|1452
190778|1242
190780|1122
190785|608
190787|598
190788|898
190789|1022
190790|1425
190792|1014
190800|586
190801|123
190806|651
190807|1028
190813|827
190814|305
190817|605
190818|280
190819|141
190821|1160
190825|398
190829|267
190832|185
190835|764
190837|411
190840|572
190841|1093
190843|622
190844|1058
190845|1050
190848|699
190849|1160
190850|669
190855|1131
190861|604
190862|1062
190868|325
190872|1055
190873|449
190882|212
190887|426
190891|1186
190894|512
190898|1253
190899|599
190903|1278
190906|969
190910|342
190913|1087
190914|255
190916|724
190917|564
190920|211
190921|117
190928|499
190931|570
190932|791
190933|120
190937|1074
190939|1242
190940|528
190942|1109
190944|1313
190947|1009
190948|161
190951|1100
190953|273
190954|910
190962|136
190963|710
190964|203
190965|1134
190968|1093
190975|1385
190976|1037
190979|598
190980|570
190981|1425
190988|823
190992|280
190997|957
190998|669
191001|1253
191005|1314
191007|262
191010|1306
191011|1050
191012|584
191014|831
191018|764
191025|178
191026|1452
191032|1178
191034|709
191038|621
191042|267
191043|1080
191045|1109
191046|1109
191047|491
191048|825
191049|120
191051|750
191058|1374
191061|211
191062|172
191067|567
191070|1374
191071|678
191072|693
191074|807
191075|947
191081|608
191082|947
191086|184
191088|958
191089|131
191090|117
191091|183
191097|174
191098|1417
191100|829
191101|140
191104|570
191105|307
191113|186
191116|1267
191124|1385
191125|899
191126|1308
191127|172
191134|786
191136|969
191137|1410
191139|275
191140|1055
191141|1416
191143|1332
191144|1058
191146|706
191148|325
191151|801
191155|1297
191156|238
191160|976
191161|801
191162|263
191163|791
191168|595
191169|264
191171|745
191179|294
191182|1064
191183|1132
191184|709
191191|1158
191192|1374
191193|599
191194|523
191197|720
191199|174
191200|1276
191202|787
191204|1425
191205|564
191207|1122
191212|899
191213|1452
191215|342
191216|1189
191220|205
191221|491
191222|1302
191223|499
191227|184
191229|232
191232|263
191235|695
191240|219
191242|564
191249|586
191251|289
191252|502
191258|237
191259|692
191261|1312
191265|1332
191266|1069
191268|1363
191269|621
191271|191
191274|136
191275|957
191279|1402
191280|805
191283|1390
191284|1093
191289|1313
191290|770
191292|1118
191296|248
191299|411
191301|797
191302|1006
191303|713
191304|1178
191305|755
191323|702
191324|491
191327|955
191345|1118
191347|612
191348|590
191351|750
191352|269
191353|470
191354|1104
191359|278
191360|219
191365|1253
191369|264
191377|549
191378|679
191380|1074
191382|1084
191386|898
191390|564
191395|266
191396|755
191401|706
191404|1413
191406|884
191408|866
191409|919
191415|604
191416|1123
191418|1314
191421|278
191423|1312
191424|178
191426|1385
191429|410
191437|621
191439|184
191443|616
191445|643
191447|726
191450|1133
191451|797
191452|1299
191454|1413
191458|1093
191459|273
191460|916
191463|764
191464|1178
191467|294
191468|1313
191470|801
191472|549
191474|540
191477|724
191478|884
191480|1175
191481|1425
191482|795
191483|1366
191486|185
191488|976
191489|627
191491|567
191496|919
191499|255
191500|228
191504|1277
191509|1123
191512|190
191513|232
191515|479
191517|593
191519|1133
191521|1147
191523|1413
191525|1223
191526|1134
191527|1160
191531|1050
191533|295
191534|191
191537|755
191538|772
191552|1055
191555|307
191556|541
191557|273
191563|1080
191564|593
191570|363
191573|726
191577|1242
191582|1331
191585|426
191592|829
191593|1254
