Place_id1|Place_id2
0|1454
1|1454
4|1454
16|1454
17|1454
18|1454
19|1454
27|1454
33|1454
41|1454
46|1454
51|1454
52|1454
54|1454
55|1454
58|1454
59|1454
65|1454
67|1454
80|1454
82|1454
85|1454
88|1454
94|1454
98|1454
103|1454
105|1454
109|1454
111|0
112|0
113|0
114|0
115|0
116|0
117|0
118|0
119|0
120|0
121|0
122|0
123|0
124|0
125|0
126|0
127|0
128|0
129|0
130|0
131|0
132|0
133|0
134|0
135|0
136|0
137|0
138|0
139|0
140|0
141|0
142|0
143|0
144|0
145|0
146|0
147|0
148|0
149|0
150|0
151|0
152|0
153|0
154|0
155|0
156|0
157|0
158|0
159|0
160|0
161|0
162|0
163|0
164|0
165|0
166|0
167|0
168|0
169|0
170|0
171|0
172|0
173|0
174|0
175|0
176|0
177|0
178|0
179|0
180|0
181|0
182|0
183|0
184|0
185|0
186|0
187|0
188|0
189|0
190|0
191|0
192|0
193|0
194|0
195|0
196|0
197|0
198|0
199|0
200|0
201|0
202|0
203|0
204|0
205|0
206|0
207|0
208|0
209|0
210|0
211|0
212|0
213|0
214|0
215|0
216|0
217|0
218|0
219|0
220|0
221|0
222|0
223|0
224|0
225|0
226|0
227|0
228|0
229|0
230|0
231|0
232|0
233|0
234|0
235|0
236|0
237|0
238|0
239|0
240|0
241|0
242|0
243|0
244|0
245|0
246|0
247|0
248|0
249|0
250|0
251|0
252|0
253|0
254|0
255|0
256|0
257|0
258|0
259|0
260|0
261|0
262|0
263|0
264|0
265|0
266|0
267|0
268|0
269|0
270|0
271|0
272|0
273|0
274|0
275|0
276|0
277|0
278|0
279|0
280|0
281|0
282|0
283|0
284|0
285|0
286|0
287|0
288|0
289|0
290|0
291|0
292|0
293|0
294|0
295|0
296|0
297|0
298|0
299|0
300|0
301|0
302|0
303|0
304|0
305|0
306|0
307|0
308|0
309|0
310|1
311|1
312|1
313|1
314|1
315|1
316|1
317|1
318|1
319|1
320|1
321|1
322|1
323|1
324|1
325|1
326|1
327|1
328|1
329|1
330|1
331|1
332|1
333|1
334|1
335|1
336|1
337|1
338|1
339|1
340|1
341|1
342|1
343|1
344|1
345|1
346|1
347|1
348|1
349|1
350|1
351|1
352|1
353|1
354|1
355|1
356|1
357|1
358|1
359|1
360|1
361|1
362|1
363|1
364|1
365|1
366|1
367|1
368|1
369|1
370|1
371|1
372|1
373|1
374|1
375|1
376|1
377|1
378|1
379|1
380|1
381|1
382|1
383|1
384|1
385|1
386|1
387|1
388|1
389|1
390|1
391|1
392|1
393|1
394|1
395|1
396|1
397|1
398|1
399|1
400|1
401|1
402|1
403|1
404|1
405|1
406|1
407|1
408|1
409|1
410|1
411|1
412|1
413|1
414|1
415|1
416|1
417|1
418|1
419|1
420|1
421|1
422|1
423|1
424|1
425|1
426|1
427|1
428|1
429|1
430|1
431|1
432|1
433|1
434|1
435|1
436|1
437|1
438|1
439|1
440|1
441|1
442|1
443|1
444|1
445|1
446|1
447|1
448|1
449|1
450|1
451|1
452|1
453|1
454|1
455|1
456|1
457|1
458|1
459|1
460|1
461|1
462|1
463|1
464|1
465|1
466|1
467|1
468|1
469|1
470|1
471|1
472|1
473|1
474|1
475|1
476|1
477|1
478|1
479|1
480|1
481|1
482|1
483|1
484|1
485|1
486|1
487|1
488|1
489|1
490|1
491|1
492|1
493|1
494|1
495|1
496|1
497|1
498|1
499|1
500|1
501|1
502|1
503|1
504|1
505|1
506|1
507|1
510|4
522|16
523|17
524|18
525|19
533|27
539|33
547|41
552|46
635|51
636|51
637|51
638|51
639|51
640|51
641|51
642|51
643|51
644|51
645|51
646|51
647|51
648|51
649|51
650|51
651|51
652|51
653|51
654|51
655|51
656|51
657|51
658|51
659|51
660|51
661|51
662|51
663|51
664|51
665|51
666|51
667|51
668|51
669|51
670|51
671|51
672|51
673|51
674|52
675|52
676|52
677|52
678|52
679|52
680|52
681|52
682|52
683|52
684|52
685|52
686|52
687|52
688|52
689|52
690|52
691|52
692|52
693|52
694|52
695|52
696|52
697|52
698|52
699|52
700|52
701|52
702|52
703|52
704|52
705|52
706|52
707|52
708|52
709|52
710|52
711|52
712|52
713|52
753|54
754|54
755|54
756|54
757|54
758|54
759|54
760|54
761|54
762|54
763|54
764|54
765|54
766|54
767|54
768|54
769|54
770|54
771|54
772|54
773|54
774|54
775|54
776|54
777|54
778|54
779|54
780|54
781|54
782|54
783|54
784|54
785|54
786|54
787|54
788|54
789|54
790|54
791|54
792|54
793|55
794|55
795|55
796|55
797|55
798|55
799|55
800|55
801|55
802|55
803|55
804|55
805|55
806|55
807|55
808|55
809|55
810|55
811|55
812|55
813|55
814|55
815|55
816|55
817|55
818|55
819|55
820|55
821|55
822|55
823|55
824|55
825|55
826|55
827|55
828|55
829|55
830|55
831|55
912|58
913|58
914|58
915|58
916|58
917|58
918|58
919|58
920|58
921|58
922|58
923|58
924|58
925|58
926|58
927|58
928|58
929|58
930|58
931|58
932|58
933|58
934|58
935|58
936|58
937|58
938|58
939|58
940|58
941|58
942|58
943|58
944|58
945|58
946|58
947|58
948|58
949|58
950|58
951|59
952|59
953|59
954|59
955|59
956|59
957|59
958|59
959|59
1010|65
1011|65
1012|65
1013|65
1014|65
1015|65
1016|65
1017|65
1018|65
1019|65
1030|67
1031|67
1032|67
1033|67
1034|67
1035|67
1036|67
1037|67
1038|67
1039|67
1158|80
1159|80
1160|80
1161|80
1162|80
1163|80
1164|80
1165|80
1166|80
1167|80
1178|82
1179|82
1180|82
1181|82
1182|82
1183|82
1184|82
1185|82
1186|82
1187|82
1207|85
1208|85
1209|85
1210|85
1211|85
1212|85
1213|85
1214|85
1215|85
1216|85
1237|88
1238|88
1239|88
1240|88
1241|88
1242|88
1243|88
1244|88
1245|88
1246|88
1297|94
1298|94
1299|94
1300|94
1301|94
1302|94
1303|94
1304|94
1333|98
1334|98
1335|98
1336|98
1337|98
1338|98
1339|98
1340|98
1341|98
1342|98
1382|103
1383|103
1384|103
1385|103
1386|103
1387|103
1388|103
1389|103
1390|103
1391|103
1402|105
1403|105
1404|105
1405|105
1406|105
1407|105
1408|105
1409|105
1410|105
1411|105
1434|109
1435|109
1436|109
1437|109
1438|109
1439|109
1440|109
1441|109
1442|109
1443|109
