Tag_id|TagClass_id
23244|15220
23246|15222
23258|15222
23259|15227
23261|15222
23275|15227
23276|15227
23277|15222
23282|15222
23286|15222
23287|15227
23347|15220
23374|15222
23466|15220
23478|15220
23482|15227
23484|15227
23486|15227
23490|15222
23494|15227
23502|15220
23503|15227
23508|15227
23542|15220
23572|15220
23590|15222
23633|15220
23644|15222
23647|15220
23652|15222
23653|15222
23669|15222
23678|15220
23681|15222
23684|15222
23696|15222
23702|15220
23703|15220
23706|15220
23713|15220
23721|15220
23750|15222
23757|15222
23758|15222
23760|15220
23780|15222
23792|15220
23800|15222
23809|15220
23813|15220
23826|15220
23845|15220
23848|15227
23849|15220
23862|15227
23875|15220
23876|15220
23880|15220
23881|15220
23897|15220
23924|15220
23926|15220
23938|15220
23949|15220
23955|15220
23957|15220
23961|15220
23967|15222
23969|15220
23971|15220
23988|15220
23993|15220
23997|15222
24001|15220
24007|15227
24016|15220
24021|15220
24034|15220
24053|15220
24077|15220
24088|15220
24100|15220
24107|15220
24139|15220
24180|15227
24184|15220
24192|15220
24210|15220
24241|15222
24247|15220
24258|15220
24260|15220
24268|15220
24279|15220
24316|15220
24381|15220
24385|15222
24390|15222
24395|15220
24407|15222
24409|15220
24414|15220
24415|15220
24416|15220
24422|15220
24431|15220
24437|15220
24453|15220
24463|15220
24500|15220
24523|15220
24528|15227
24531|15220
24537|15220
24542|15220
24548|15227
24560|15227
24577|15220
24579|15227
24589|15227
24602|15227
24624|15220
24652|15220
24659|15222
24665|15222
24667|15222
24673|15222
24674|15220
24678|15222
24703|15227
24733|15227
24762|15222
24765|15220
24774|15222
24780|15222
24790|15222
24797|15220
24821|15220
24826|15227
24838|15227
24843|15220
24850|15220
24852|15220
24863|15220
24870|15227
24875|15220
24886|15220
24889|15220
24901|15220
24907|15222
24910|15220
24912|15220
24916|15222
24918|15220
24922|15220
24927|15220
24932|15220
24937|15220
24950|15220
24951|15220
24956|15220
24969|15227
24970|15222
24985|15220
24992|15222
25002|15220
25067|15227
25073|15227
25074|15220
25076|15227
25091|15227
25104|15220
25127|15227
25165|15222
25167|15222
25187|15222
25191|15220
25192|15220
25203|15220
25209|15220
25211|15220
25220|15220
25244|15220
25247|15220
25253|15220
25256|15220
25259|15220
25267|15220
25270|15220
25272|15220
25274|15220
25276|15220
25277|15220
25279|15220
25282|15220
25286|15220
25289|15227
25290|15220
25293|15220
25295|15220
25296|15220
25297|15220
25301|15220
25307|15220
25308|15220
25313|15220
25315|15220
25317|15220
25318|15220
25324|15220
25325|15220
25328|15220
25329|15220
25333|15220
25346|15220
25354|15220
25356|15220
25374|15220
25382|15220
25389|15220
25395|15220
25400|15220
25410|15220
25411|15227
25415|15220
25421|15220
25429|15220
25430|15220
25432|15220
25446|15220
25463|15220
25486|15227
25489|15220
25495|15227
25516|15220
25530|15227
25531|15227
25532|15227
25540|15220
25578|15220
25580|15220
25591|15220
25594|15220
25595|15220
25601|15220
25606|15220
25613|15220
25619|15220
25646|15220
25652|15220
25658|15220
25672|15220
25676|15220
25684|15220
25697|15227
25705|15220
25717|15220
25719|15227
25737|15220
25751|15220
25755|15220
25759|15227
25772|15220
25777|15220
25786|15220
25789|15220
25799|15220
25811|15220
25816|15220
25839|15227
25844|15220
25846|15220
25848|15220
25876|15227
25882|15220
25886|15220
25888|15220
25901|15227
25903|15220
25906|15220
25924|15220
25932|15220
25940|15220
25948|15227
25954|15220
25969|15220
25977|15227
25991|15220
25996|15227
26005|15220
26011|15220
26027|15220
26032|15220
26055|15220
26059|15220
26073|15220
26079|15220
26081|15220
26131|15220
26142|15220
26161|15220
26204|15220
26221|15220
26228|15220
26235|15220
26270|15220
26277|15220
26280|15220
26281|15220
26283|15220
26302|15220
26329|15220
26330|15220
26354|15220
26375|15220
26398|15220
26418|15220
26442|15222
26443|15220
26445|15222
26449|15220
26451|15220
26459|15220
26470|15220
26480|15220
26485|15220
26505|15220
26519|15220
26541|15220
26561|15220
26573|15220
26582|15220
26589|15220
26596|15222
26615|15220
26629|15220
26645|15220
26648|15220
26667|15220
26673|15220
26683|15220
26698|15220
26717|15220
26739|15220
26746|15220
26753|15220
26754|15220
26779|15220
26828|15220
26836|15220
26851|15220
26891|15220
26910|15220
26918|15220
26940|15220
26951|15220
26953|15220
26986|15220
26997|15220
27010|15220
27029|15220
27050|15220
27059|15220
27100|15220
27112|15220
27114|15220
27124|15220
27132|15220
27140|15220
27145|15220
27160|15220
27175|15220
27214|15220
27232|15227
27235|15220
27266|15220
27273|15220
27300|15220
27309|15220
27311|15220
27330|15220
27333|15220
27346|15220
27364|15220
27372|15220
27373|15220
27375|15220
27379|15220
27415|15220
27432|15220
27444|15220
27453|15220
27468|15220
27478|15220
27550|15220
27555|15220
27600|15220
27605|15220
27615|15220
27651|15220
27689|15220
27701|15220
27712|15220
27717|15220
27722|15220
27723|15220
27760|15220
27770|15220
27786|15220
27795|15220
27796|15220
27816|15220
27824|15220
27842|15220
27845|15220
27872|15220
27878|15220
27900|15220
27909|15220
27917|15220
27928|15220
27935|15220
27942|15220
27947|15220
27965|15220
27970|15220
27972|15220
27997|15220
28009|15220
28029|15220
28032|15220
28039|15220
28060|15220
28064|15220
28066|15220
28072|15220
28081|15222
28086|15220
28107|15268
28108|15268
28111|15268
28113|15268
28114|15268
28115|15268
28118|15268
28119|15268
28121|15268
28122|15268
28123|15268
28124|15268
28126|15268
28127|15268
28130|15268
28131|15268
28133|15268
28135|15268
28138|15268
28139|15268
28142|15268
28143|15268
28144|15268
28145|15268
28146|15268
28147|15268
28148|15268
28153|15268
28155|15268
28156|15268
28157|15268
28158|15268
28159|15268
28168|15268
28172|15268
28174|15268
28197|15268
28199|15268
28218|15268
28222|15268
28224|15268
28226|15268
28227|15268
28228|15268
28229|15268
28230|15268
28235|15268
28245|15268
28252|15268
28259|15268
28280|15268
28290|15268
28309|15268
28318|15268
28319|15268
28321|15220
28323|15268
28328|15268
28331|15268
28371|15268
28373|15268
28374|15268
28380|15268
28382|15268
28384|15268
28394|15220
28397|15220
28410|15220
