Comment_id1|Comment_id2
39324|39322
39325|39322
39326|39325
39327|39325
39328|39325
39331|39325
39333|39325
39454|39452
39455|39452
39456|39452
39457|39452
39458|39452
39462|39461
39463|39461
39464|39461
39465|39452
39466|39461
39467|39465
39882|39881
39884|39881
39885|39881
39886|39883
39888|39887
39889|39887
39890|39888
39891|39887
39892|39888
39893|39888
39894|39890
39895|39892
39896|39889
39897|39883
40196|40195
40197|40195
40198|40195
40199|40195
40200|40195
40201|40195
40205|40204
40206|40195
40474|40472
40475|40474
40478|40474
40479|40474
40480|40472
40482|40479
40483|40474
40484|40475
40485|40484
40486|40472
40487|40474
40488|40484
40489|40472
40490|40475
40904|40903
40905|40903
40907|40906
40908|40906
40909|40903
40910|40908
40912|40906
40913|40908
40914|40906
40915|40914
40916|40903
40917|40916
40919|40906
40920|40908
41725|41723
41727|41723
41728|41723
41729|41723
41730|41723
41732|41723
41733|41732
41734|41723
41735|41730
41736|41730
41737|41732
41738|41732
41739|41723
41787|41785
41789|41785
41790|41788
41791|41788
41792|41788
41793|41792
41794|41793
41795|41793
41796|41785
41797|41796
41801|41799
41860|41858
41861|41860
41862|41858
41863|41858
41864|41858
41865|41862
41866|41858
41867|41860
41868|41862
41869|41860
41870|41869
41871|41869
41872|41858
41873|41862
41875|41869
42310|42306
42311|42306
42312|42306
42313|42310
42314|42306
42315|42314
42316|42310
42317|42313
42318|42316
42319|42310
42320|42313
42321|42315
42322|42315
42496|42494
42497|42494
42498|42494
42501|42494
42502|42494
42503|42494
42506|42494
42507|42495
42508|42494
42510|42494
42686|42685
42689|42685
42693|42692
42694|42692
42695|42692
42696|42692
42697|42696
42698|42685
42699|42698
42700|42697
42701|42692
42702|42701
42703|42694
43015|43014
43016|43014
43017|43014
43018|43014
43019|43018
43021|43018
43022|43014
43025|43024
43026|43024
43027|43018
43028|43018
43064|43061
43067|43061
43068|43061
43069|43068
43070|43061
43071|43061
43073|43061
43074|43071
43075|43066
43076|43066
43077|43068
43254|43253
43255|43253
43259|43253
43260|43256
43262|43258
43263|43258
43264|43262
43266|43258
43267|43256
43268|43253
43269|43267
43270|43256
43327|43325
43328|43325
43329|43325
43330|43325
43331|43325
43332|43325
43333|43330
43335|43333
43336|43331
43338|43333
43339|43338
43340|43330
43347|43344
43349|43344
43351|43350
43354|43353
43356|43353
43357|43356
43358|43350
43359|43344
43360|43356
43395|43394
43399|43395
43400|43395
43402|43395
43405|43395
43409|43408
43929|43928
43931|43929
43932|43928
43933|43932
43934|43928
43936|43929
43938|43932
43940|43928
43941|43938
43942|43932
43943|43936
43944|43929
43945|43938
43946|43939
44058|44057
44060|44057
44061|44057
44062|44057
44064|44057
44065|44060
44066|44057
44067|44057
44068|44060
44069|44057
44070|44060
44071|44057
44072|44068
44073|44066
44075|44060
44309|44307
44310|44307
44311|44307
44312|44307
44313|44307
44314|44311
44317|44307
44318|44311
44319|44311
44569|44568
44570|44568
44571|44568
44573|44568
44574|44569
44575|44569
44576|44568
44577|44576
44578|44576
44874|44872
44876|44873
44878|44872
44879|44876
44880|44872
44881|44873
44883|44873
44885|44877
44886|44877
44887|44886
44889|44873
44890|44873
45092|45091
45095|45091
45096|45094
45098|45094
45100|45091
45101|45094
45102|45091
45103|45098
45104|45094
45105|45104
45106|45104
45692|45690
45694|45690
45700|45690
45701|45690
45702|45690
45703|45702
45704|45702
45705|45702
45706|45701
45707|45703
45708|45702
45728|45727
45729|45727
45731|45728
45732|45727
45733|45730
45734|45727
45735|45729
45736|45727
45738|45732
45739|45727
45740|45727
45741|45729
45742|45728
45744|45727
45762|45761
45763|45762
45764|45761
45766|45765
45767|45765
45768|45761
45769|45765
45770|45769
45771|45769
45772|45769
45773|45762
45774|45769
45776|45771
45777|45769
46290|46288
46293|46288
46295|46288
46296|46288
46297|46288
46298|46296
46300|46296
46301|46297
46670|46668
46671|46668
46672|46668
46673|46672
46674|46672
46675|46674
46676|46670
46677|46674
46678|46673
46679|46668
46680|46673
46682|46681
46683|46673
46684|46670
46685|46670
46686|46672
46712|46710
46714|46710
46715|46710
46719|46715
46720|46710
47264|47263
47266|47259
47267|47259
47268|47263
47269|47268
47270|47259
47271|47264
47272|47268
47273|47259
47274|47259
47866|47865
47867|47865
47869|47867
47871|47867
47872|47865
47873|47870
47875|47870
47876|47865
47877|47871
47878|47871
47879|47875
47880|47870
47881|47875
47981|47980
47983|47980
47984|47980
47985|47983
47986|47980
47989|47988
47990|47983
47991|47988
47992|47988
47993|47990
47996|47992
47997|47988
47998|47989
48186|48181
48188|48183
48189|48184
48190|48184
48192|48183
48193|48183
48194|48185
48195|48188
48196|48183
48197|48190
48198|48185
48417|48416
48418|48416
48419|48418
48421|48420
48423|48416
48425|48420
48426|48420
48427|48420
48430|48416
48431|48416
48433|48420
48434|48433
48605|48600
48607|48600
48608|48600
48609|48604
48610|48604
48612|48610
48613|48604
48620|48616
48621|48616
48623|48622
48624|48616
48625|48624
48626|48622
48629|48624
48631|48630
48632|48616
48724|48722
48725|48722
48727|48722
48729|48722
48731|48722
48733|48722
48735|48731
48736|48733
48737|48733
48739|48733
48740|48733
48946|48944
48947|48944
48949|48944
48950|48944
48951|48944
48952|48950
48954|48950
48956|48944
48957|48956
48958|48944
48959|48953
49132|49130
49135|49134
49136|49134
49137|49131
49138|49131
49139|49131
49141|49132
49150|49148
49154|49153
49155|49153
49157|49148
49158|49151
49160|49152
49161|49153
49162|49159
49163|49159
49164|49155
49165|49148
51123|51120
51124|51120
51125|51120
51126|51123
51128|51127
51129|51127
51130|51127
51131|51127
51132|51130
51134|51127
51136|51130
51137|51130
51139|51127
51140|51127
51142|51141
51143|51142
51144|51142
51145|51130
51546|51541
51547|51541
51549|51541
51550|51548
51553|51541
51554|51548
51555|51553
51556|51551
51557|51555
51558|51551
51681|51680
51683|51680
51684|51680
51686|51685
51687|51680
51688|51685
51689|51681
51690|51680
51691|51689
51692|51689
51693|51681
51695|51693
51696|51685
51697|51681
51932|51931
51933|51931
51936|51931
51937|51931
51940|51931
51942|51931
51948|51947
51949|51947
51950|51947
52528|52524
52530|52529
52531|52524
52533|52531
52534|52524
52535|52524
52536|52524
52537|52529
52538|52529
52539|52531
52540|52524
52541|52524
52632|52631
52634|52633
52636|52631
52637|52633
52638|52631
52639|52633
52640|52638
52641|52637
52642|52640
52643|52638
52644|52640
52645|52638
52646|52636
52647|52645
52648|52631
52649|52633
53689|53685
53690|53686
53694|53685
53696|53686
53698|53685
53700|53686
53701|53685
54039|54037
54040|54037
54041|54040
54043|54042
54044|54042
54045|54040
54046|54042
54047|54040
54048|54044
54049|54040
54050|54040
54051|54047
54052|54051
54053|54044
54149|54147
54150|54147
54151|54147
54152|54151
54153|54147
54154|54147
54155|54151
54156|54154
54157|54154
54158|54151
54159|54147
54160|54154
54161|54151
54163|54151
54378|54377
54379|54377
54380|54377
54381|54380
54382|54379
54383|54377
54385|54381
54386|54383
54387|54377
54388|54377
54389|54379
54390|54381
54776|54775
54777|54774
54778|54774
54779|54776
54780|54775
54782|54776
54783|54776
54785|54774
54786|54774
54787|54774
54788|54775
54789|54784
54790|54776
54791|54774
54792|54776
55509|55506
55510|55506
55513|55506
55514|55507
55515|55506
55516|55510
55517|55508
55518|55507
55519|55510
55520|55508
55521|55507
55587|55586
55589|55587
55590|55586
55591|55587
55592|55591
55593|55589
55594|55591
55595|55589
55596|55591
55597|55589
55599|55591
55601|55598
55602|55591
55603|55590
55766|55765
55768|55765
55769|55765
55770|55765
55772|55765
55773|55765
55775|55765
55776|55775
55779|55778
55780|55769
55781|55769
55838|55836
55839|55836
55840|55838
55841|55838
55843|55836
55844|55838
55847|55836
55848|55836
55849|55848
56211|56210
56213|56210
56216|56212
56217|56212
56218|56210
56220|56212
56221|56210
56222|56220
56223|56210
56225|56212
56226|56222
56227|56222
56846|56845
56848|56845
56849|56845
56850|56845
56851|56845
56852|56845
56854|56849
56855|56850
56856|56850
56857|56852
56858|56850
56859|56845
