id|name|url|type
1|China|http://dbpedia.org/resource/China|country
76|Ethiopia|http://dbpedia.org/resource/Ethiopia|country
68|Cameroon|http://dbpedia.org/resource/Cameroon|country
96|Senegal|http://dbpedia.org/resource/Senegal|country
110|Zambia|http://dbpedia.org/resource/Zambia|country
104|Tunisia|http://dbpedia.org/resource/Tunisia|country
106|Ukraine|http://dbpedia.org/resource/Ukraine|country
103|Thailand|http://dbpedia.org/resource/Thailand|country
62|Australia|http://dbpedia.org/resource/Australia|country
82|Kazakhstan|http://dbpedia.org/resource/Kazakhstan|country
89|Netherlands|http://dbpedia.org/resource/Netherlands|country
94|Taiwan|http://dbpedia.org/resource/Taiwan|country
61|Argentina|http://dbpedia.org/resource/Argentina|country
4|Azerbaijan|http://dbpedia.org/resource/Azerbaijan|country
97|South_Africa|http://dbpedia.org/resource/South_Africa|country
98|South_Korea|http://dbpedia.org/resource/South_Korea|country
85|Malaysia|http://dbpedia.org/resource/Malaysia|country
79|Hungary|http://dbpedia.org/resource/Hungary|country
88|Nepal|http://dbpedia.org/resource/Nepal|country
99|Spain|http://dbpedia.org/resource/Spain|country
67|Cambodia|http://dbpedia.org/resource/Cambodia|country
66|Canada|http://dbpedia.org/resource/Canada|country
80|Iran|http://dbpedia.org/resource/Iran|country
91|Peru|http://dbpedia.org/resource/Peru|country
77|France|http://dbpedia.org/resource/France|country
63|Belarus|http://dbpedia.org/resource/Belarus|country
87|Morocco|http://dbpedia.org/resource/Morocco|country
102|Tanzania|http://dbpedia.org/resource/Tanzania|country
92|Poland|http://dbpedia.org/resource/Poland|country
93|Portugal|http://dbpedia.org/resource/Portugal|country
64|Belgium|http://dbpedia.org/resource/Belgium|country
81|Italy|http://dbpedia.org/resource/Italy|country
107|United_Kingdom|http://dbpedia.org/resource/United_Kingdom|country
108|Venezuela|http://dbpedia.org/resource/Venezuela|country
73|Democratic_Republic_of_the_Congo|http://dbpedia.org/resource/Democratic_Republic_of_the_Congo|country
86|Moldova|http://dbpedia.org/resource/Moldova|country
48|Wales|http://dbpedia.org/resource/Wales|country
23|Lithuania|http://dbpedia.org/resource/Lithuania|country
13|Estonia|http://dbpedia.org/resource/Estonia|country
3|Austria|http://dbpedia.org/resource/Austria|country
24|Malta|http://dbpedia.org/resource/Malta|country
2|Angola|http://dbpedia.org/resource/Angola|country
8|Chad|http://dbpedia.org/resource/Chad|country
21|Liberia|http://dbpedia.org/resource/Liberia|country
22|Libya|http://dbpedia.org/resource/Libya|country
25|Mauritania|http://dbpedia.org/resource/Mauritania|country
26|Mauritius|http://dbpedia.org/resource/Mauritius|country
28|Namibia|http://dbpedia.org/resource/Namibia|country
39|Rwanda|http://dbpedia.org/resource/Rwanda|country
44|Swaziland|http://dbpedia.org/resource/Swaziland|country
60|Algeria|http://dbpedia.org/resource/Algeria|country
74|Egypt|http://dbpedia.org/resource/Egypt|country
83|Kenya|http://dbpedia.org/resource/Kenya|country
84|Madagascar|http://dbpedia.org/resource/Madagascar|country
90|Niger|http://dbpedia.org/resource/Niger|country
100|Sri_Lanka|http://dbpedia.org/resource/Sri_Lanka|country
508|Luanda|http://dbpedia.org/resource/Luanda|city
