Person_id|Organisation_id|classYear
190435|18289|0
190457|17494|0
190596|17494|0
190604|18289|0
190627|18289|0
190674|17494|0
190686|17494|0
190689|17494|0
190700|18289|0
190732|18289|0
190734|18289|0
190794|18289|0
190809|18289|0
190819|18289|0
190871|17494|0
190873|17494|0
190914|18289|0
191030|17494|0
191105|18289|0
191149|17494|0
191252|17494|0
191270|17494|0
191432|17494|0
191435|17494|0
191557|18289|0
191560|18289|0
191569|17494|0
191602|17494|0
191721|18289|0
191780|18289|0
191786|18289|0
191820|17494|0
