Person_id|Organisation_id|workFrom
190359|16507|0
190359|16508|0
190359|16511|0
190361|15834|0
190362|15542|0
190362|15562|0
190362|15564|0
190362|15565|0
190363|16100|0
190363|16101|0
190363|16103|0
190363|16104|0
190365|16190|0
190366|15291|0
190366|15292|0
190367|16176|0
190368|16081|0
190368|16065|0
190368|16082|0
190368|16088|0
190369|15577|0
190369|15579|0
190371|15938|0
190372|16042|0
190372|15834|0
190373|16217|0
190373|16204|0
190373|16192|0
190374|16119|0
190377|15733|0
190377|15765|0
190377|15769|0
190378|16196|0
190378|16197|0
190378|16216|0
190378|16217|0
190378|16189|0
190380|15618|0
190380|15622|0
190380|15625|0
190381|15745|0
190381|15732|0
190381|15725|0
190381|15758|0
190382|16188|0
190383|16578|0
190383|16581|0
190383|16582|0
190384|15761|0
190384|15727|0
190385|15388|0
190385|15389|0
190385|15390|0
190386|15826|0
190386|15827|0
190386|15835|0
190386|15824|0
190388|16196|0
190388|16204|0
190388|16208|0
190390|16839|0
190390|16840|0
190391|15836|0
190391|15856|0
190392|15426|0
190392|15463|0
190392|15416|0
190392|15466|0
190393|15762|0
190393|15735|0
190393|15736|0
190393|15737|0
190395|15873|0
190395|15881|0
190395|15882|0
190395|15883|0
190395|15886|0
190396|16145|0
190396|16146|0
190396|16147|0
190398|16004|0
190398|16840|0
190398|16841|0
190398|16842|0
190400|16294|0
190400|16302|0
190400|16303|0
190401|16354|0
190401|16339|0
190401|16368|0
190402|16753|0
190402|16758|0
190402|16775|0
190402|16744|0
190402|16793|0
190403|15857|0
190403|15861|0
190403|15840|0
190404|16217|0
190404|15564|0
190405|16292|0
190405|15546|0
190405|15567|0
190405|15552|0
190406|15577|0
190406|15578|0
190406|15579|0
190407|15288|0
190407|15292|0
190408|16225|0
190408|16229|0
190408|16223|0
190409|15460|0
190409|15419|0
190409|15438|0
190410|15446|0
190410|15435|0
190411|16374|0
190411|16376|0
190411|16328|0
190411|16364|0
190412|16838|0
190412|16841|0
190412|16842|0
190413|15540|0
190413|16168|0
190413|16169|0
190413|16170|0
190415|15633|0
190415|15644|0
190415|15645|0
190415|15630|0
190418|16051|0
190418|16042|0
190418|16046|0
190418|16047|0
190419|16069|0
190419|16087|0
190419|16079|0
190419|16063|0
190422|15953|0
190422|15956|0
190422|15957|0
190422|15945|0
190426|15539|0
190426|15540|0
190427|16039|0
190428|16369|0
190428|16322|0
190432|16214|0
190432|16217|0
190432|16204|0
190432|16190|0
190432|16207|0
190433|16604|0
190433|16605|0
190436|16006|0
190436|15998|0
190437|16839|0
190438|16193|0
190438|16212|0
190438|16216|0
190439|15583|0
190440|16577|0
190440|16580|0
190440|16583|0
190440|16619|0
190441|16210|0
190441|16212|0
190441|16215|0
190441|15871|0
190441|16208|0
190442|15825|0
190442|15819|0
190442|16143|0
190442|15823|0
190444|16456|0
190444|16458|0
