Comment_id1|Comment_id2
39354|39352
39355|39353
39357|39353
39358|39352
39359|39353
39360|39359
39361|39358
39363|39359
39364|39362
39365|39362
39401|39400
39562|39560
39564|39560
39566|39563
39567|39560
39569|39565
39570|39567
39571|39565
39572|39567
39574|39567
39659|39658
39666|39665
39668|39667
39669|39665
39670|39665
39671|39667
39672|39665
39674|39673
39675|39667
39677|39667
39678|39667
39679|39674
39684|39681
39686|39681
39687|39683
39688|39681
39689|39683
39690|39681
39691|39681
39692|39689
39693|39689
39694|39692
39709|39706
39710|39707
39711|39707
39712|39707
39713|39706
39714|39706
39715|39713
39719|39718
39722|39719
39723|39720
39725|39720
39726|39718
39727|39723
39728|39720
39729|39728
39730|39720
39736|39735
39737|39736
39738|39736
39739|39735
39740|39735
39741|39736
39742|39735
39743|39740
39744|39738
39745|39740
39746|39743
39748|39738
39812|39809
39813|39810
39814|39811
39815|39809
39816|39809
39817|39809
39818|39810
39819|39818
39820|39818
39821|39811
39822|39818
39823|39809
39847|39846
39851|39850
39967|39965
39970|39969
39972|39965
39973|39971
39974|39969
39975|39972
39976|39971
39979|39969
39980|39971
40028|40026
40030|40025
40110|40109
40134|40133
40135|40134
40137|40133
40139|40134
40140|40133
40141|40133
40142|40134
40143|40142
40144|40133
40145|40142
40213|40212
40214|40212
40215|40212
40216|40215
40217|40215
40220|40215
40222|40214
40223|40212
40224|40216
40225|40223
40267|40265
40268|40265
40270|40265
40271|40265
40272|40269
40273|40265
40274|40269
40276|40265
40277|40265
40282|40281
40285|40281
40286|40285
40287|40281
40288|40286
40289|40285
40291|40281
40292|40281
40293|40289
40332|40331
40333|40331
40334|40331
40335|40331
40336|40331
40337|40331
40338|40331
40339|40331
40340|40331
40341|40331
40342|40340
40343|40340
40344|40340
40346|40341
40401|40397
40403|40402
40404|40402
40405|40397
40406|40397
40407|40397
40408|40402
40409|40397
40410|40408
40421|40420
40424|40420
40425|40420
40426|40424
40427|40423
40428|40423
40429|40420
40430|40427
40454|40453
40457|40453
40458|40457
40459|40456
40460|40459
40461|40458
40462|40453
40494|40491
40495|40491
40497|40496
40498|40492
40501|40498
40502|40501
40504|40499
40505|40492
40507|40501
40508|40496
40510|40509
40530|40528
40531|40528
40532|40529
40534|40529
40535|40529
40536|40529
40537|40535
40538|40537
40539|40529
40540|40528
40541|40529
40542|40537
40557|40556
40558|40557
40627|40625
40630|40625
40631|40625
40632|40628
40633|40631
40635|40631
40636|40625
40661|40660
40663|40660
40666|40660
40667|40660
40669|40660
40671|40660
40672|40671
40674|40673
40691|40690
40693|40690
40694|40693
40695|40694
40696|40690
40697|40690
40698|40693
40699|40693
40700|40698
40702|40701
40703|40702
40705|40701
40706|40702
40707|40701
