Person_id|Organisation_id|classYear
190359|17924|0
190371|19950|0
190375|20223|0
190387|21674|0
190389|17242|0
190391|19793|0
190413|20550|0
190414|20317|0
190417|17808|0
190418|21906|0
190420|21898|0
190421|19957|0
190423|18263|0
190424|17253|0
190425|16889|0
190426|17457|0
190429|17259|0
190430|20515|0
190431|20806|0
190432|17524|0
190449|18292|0
190451|17492|0
190455|21826|0
190464|17974|0
190475|20320|0
190479|21485|0
190495|21146|0
190497|21449|0
190502|20553|0
190506|17133|0
190513|18292|0
190518|20222|0
190519|21897|0
190521|17767|0
190524|20429|0
190537|21722|0
190539|16886|0
190547|20449|0
190556|21485|0
190558|17486|0
190563|17119|0
190582|20782|0
190584|17637|0
190592|22086|0
190593|17492|0
190606|17486|0
190614|23221|0
190616|20263|0
190617|17486|0
190619|17486|0
190620|20519|0
190623|19453|0
190625|21947|0
190628|18292|0
190629|16880|0
190630|16920|0
190648|20515|0
190650|17804|0
190666|16923|0
190667|17662|0
190670|20235|0
190680|20235|0
190681|20249|0
190684|20775|0
190687|21760|0
190691|20324|0
190699|20470|0
190711|21674|0
190717|18263|0
190722|16864|0
190731|21085|0
190733|17978|0
190780|17928|0
190784|17492|0
190791|16886|0
190811|17974|0
190825|17492|0
190826|21589|0
190828|17486|0
190832|18292|0
190835|20551|0
190841|17768|0
190842|17085|0
190844|17457|0
190847|17236|0
190848|20023|0
190853|16882|0
190854|17731|0
190855|17980|0
190857|17802|0
190862|17662|0
190866|18292|0
190876|17735|0
190880|16923|0
190887|17486|0
190888|21625|0
190892|21449|0
190893|20550|0
190902|21722|0
190904|21760|0
190905|17734|0
190911|21897|0
190913|17731|0
190917|17133|0
190920|18292|0
190925|17486|0
190934|21224|0
190946|20449|0
190958|16882|0
190968|17764|0
190970|17492|0
190973|20548|0
190976|17250|0
190996|17767|0
191000|21590|0
191028|20323|0
191036|21675|0
191044|17925|0
191045|17802|0
191054|23175|0
191056|16889|0
191061|18292|0
191070|21756|0
191071|20023|0
191079|21898|0
191088|16861|0
191093|17492|0
191094|17486|0
191095|17972|0
191102|17492|0
191106|17087|0
191107|20223|0
191116|20784|0
191122|17972|0
191126|21224|0
191128|18292|0
191140|17456|0
191142|21146|0
191143|21453|0
191145|20424|0
191154|23229|0
191167|21590|0
191171|20324|0
191172|20424|0
191174|17087|0
191178|17492|0
191182|17667|0
191183|17980|0
191184|20026|0
191198|17119|0
191203|23229|0
191204|21954|0
191226|17928|0
191237|18222|0
191243|20277|0
191247|17492|0
191259|20032|0
191266|17667|0
191268|21673|0
191275|16864|0
191281|17265|0
191284|17764|0
191297|16861|0
191302|17094|0
191303|20027|0
191305|20551|0
191311|18222|0
191315|17456|0
191317|18292|0
191323|20026|0
191332|17492|0
191335|22077|0
191338|21261|0
191346|18292|0
191358|22086|0
191367|20468|0
191370|20468|0
191375|18292|0
191377|21444|0
191379|17735|0
191392|22077|0
191403|18292|0
191405|18292|0
191406|22081|0
191410|21085|0
191411|17265|0
191416|17925|0
191431|21589|0
191442|21478|0
191444|17804|0
191453|23178|0
191458|17768|0
191469|20808|0
191472|21444|0
191490|21627|0
191495|20126|0
191502|20320|0
191503|19793|0
191506|17486|0
191516|20323|0
191518|20032|0
191526|17978|0
191528|17492|0
191544|20429|0
191546|20470|0
191556|20775|0
191567|21627|0
191580|17668|0
191583|21673|0
191588|17492|0
191589|16920|0
191596|21480|0
191597|17492|0
191600|21954|0
191603|21453|0
191613|23175|0
191615|17492|0
191631|20784|0
191643|20126|0
191647|20808|0
191649|23178|0
191650|21833|0
191660|17734|0
191676|17486|0
191683|17236|0
191685|20782|0
191687|17736|0
191691|22081|0
191692|17736|0
191698|17085|0
191703|21261|0
191706|17250|0
191710|21675|0
191711|20249|0
191713|18292|0
191714|17668|0
191729|21833|0
191733|21625|0
191740|23159|0
191748|21148|0
191762|21478|0
191772|20027|0
191776|21480|0
191807|17808|0
191811|17492|0
191813|20548|0
191815|21756|0
191823|16862|0
191824|18292|0
191825|20778|0
191827|19950|0
191828|21757|0
191829|21447|0
191838|17094|0
191843|20277|0
191855|20553|0
191856|17242|0
191885|21826|0
