Post_id|Place_id
192015|37
192241|0
192376|40
192588|7
192726|34
193191|0
193192|0
193193|0
193194|0
193195|0
193196|0
193197|0
193198|0
193199|0
193200|0
193202|0
193203|0
193204|0
193205|0
193206|0
193207|0
193208|0
193209|0
193210|0
193256|37
193969|34
194548|28
194638|6
194726|7
194729|7
195157|33
195193|75
195352|11
195538|28
195580|17
195730|75
195758|33
195804|33
196290|45
196573|40
196587|7
196751|28
197101|40
197372|6
197379|14
197382|14
197474|33
197805|45
198188|14
198287|7
198360|40
198705|14
198855|11
198900|11
199038|6
199172|0
199173|0
199174|0
199175|0
199176|0
199177|0
199178|0
199179|0
199180|0
199181|0
199182|0
199183|0
199184|0
199185|0
199186|0
199187|0
199188|0
199190|0
199191|0
199192|0
199193|0
199194|0
199195|0
199196|0
199197|0
199280|33
199488|0
199521|14
199720|45
199728|28
199917|14
199931|0
199935|28
200192|0
200193|0
200194|0
200195|0
200196|0
200197|0
200198|0
200199|0
200200|0
200201|0
200202|0
200203|0
200204|0
200205|0
200206|0
200207|0
200208|0
200209|0
200210|0
200211|0
200212|0
200213|0
200214|0
200215|0
200216|0
200217|0
200218|0
200219|0
200220|0
200221|0
200222|0
200223|0
200224|0
200225|0
200226|0
200227|0
200228|0
200229|0
200230|0
200231|0
200232|0
200233|0
200234|0
200235|0
200236|0
200237|0
200238|0
200239|0
200240|0
200241|0
200242|0
200243|0
200244|0
200245|0
200246|0
200247|0
200248|0
200249|0
200250|0
200251|0
200252|0
200253|0
200254|0
200255|0
200256|0
200257|0
200258|0
200259|0
200260|0
200261|0
200262|0
200263|0
200264|0
200265|0
200266|0
200267|0
200268|0
200269|0
200270|0
200271|0
200272|0
200273|0
200274|0
200275|0
200276|0
200277|0
200278|0
200279|0
200280|0
200281|0
200282|0
200283|0
200284|0
200285|0
200286|0
200287|0
200289|0
200290|0
200291|0
200292|0
200293|0
200294|0
200295|0
200296|0
200297|0
200298|0
200299|0
200300|0
200301|0
200302|0
200303|0
200304|0
200305|0
200306|0
200308|0
200309|0
200310|0
200311|0
200312|0
200313|0
200314|0
200315|0
200316|0
200317|0
200318|0
200319|0
200320|0
200321|0
200322|0
200323|0
200324|0
200325|0
200326|0
200327|0
200328|0
200329|0
200330|0
200331|0
200333|0
200334|0
200335|0
200336|0
200337|0
200338|0
200340|0
200341|28
200342|0
200343|0
200344|0
200345|0
200346|0
200347|0
200349|0
200350|0
200351|0
200352|0
200353|0
200354|0
200355|0
200356|0
200357|0
200358|0
200359|0
200500|45
200689|0
200727|14
200886|0
200887|0
200888|0
200889|0
200890|0
200891|0
200892|0
200893|0
200894|0
200895|0
200896|0
200897|0
200900|0
200901|0
200902|0
200903|0
200904|0
200905|0
200906|0
200907|0
200908|0
200909|0
200910|0
200911|0
200912|0
200913|0
200914|0
200915|0
200916|0
200917|0
200918|0
200919|0
200920|0
200921|0
200922|0
200923|0
200924|0
200925|0
200926|0
200927|0
200928|0
200929|0
200930|0
200931|0
200932|0
200933|0
200934|0
200935|0
200936|0
200937|0
200938|0
200939|0
200940|0
200941|0
200942|0
200943|0
200944|0
200945|0
200946|0
200947|0
200948|0
200949|0
200950|0
200951|0
200952|0
200953|0
200954|0
200955|0
200956|0
200957|0
200958|0
200959|0
200960|0
200961|0
200962|0
200963|0
200964|0
200965|0
200966|0
200967|0
200968|0
200969|0
200970|0
200971|0
200973|0
200974|0
200975|0
200976|0
200977|0
200978|0
200979|0
200980|0
200981|0
200982|0
200983|0
200984|0
200985|0
200986|0
200987|0
200988|0
200989|0
200990|0
200991|0
200992|0
200993|0
200994|0
200995|0
200996|0
200997|0
200998|0
200999|0
201000|0
201001|0
201002|0
201003|0
201004|0
201005|0
201006|0
201007|0
201008|0
201009|0
201010|0
201011|0
201012|0
201013|0
201014|0
201015|0
201016|0
201017|0
201018|0
201019|0
201020|0
201021|0
201022|0
201023|0
201024|0
201025|0
201026|0
201027|0
201028|0
201029|0
201030|0
201031|0
201032|0
201033|0
201034|0
201035|0
201036|0
201037|0
201038|0
201039|0
201040|0
201041|0
201042|0
201043|0
201044|0
201045|0
201046|0
201047|0
201048|0
201049|0
201050|0
201051|0
201052|0
201053|0
201054|0
201055|0
201056|0
201057|0
201058|0
201059|0
201060|0
201062|0
201063|0
201064|0
201065|0
201066|0
201067|0
201068|0
201069|0
201070|0
201071|0
201072|0
201073|0
201074|0
201075|0
201076|0
201077|0
201078|0
201079|0
201080|0
201081|0
201082|0
201083|0
201084|0
201085|0
201086|0
201087|0
201088|0
201089|0
201090|0
201091|0
201092|0
201093|0
201094|0
201095|0
201096|0
201097|0
201098|0
201099|0
201100|0
201101|0
201102|0
201103|0
201104|0
201105|0
201106|0
201107|0
201108|0
201109|0
201110|0
201111|0
201112|0
201113|0
201114|0
201115|0
201116|0
201117|0
201118|0
201119|0
201120|0
201121|0
201122|0
201123|0
201124|0
201125|17
201126|0
201129|0
201130|0
201132|0
201133|0
201135|0
201136|0
201137|0
201138|0
201139|0
201140|0
201141|0
201142|0
201143|0
201144|0
201145|0
201146|0
201147|0
201149|0
201150|0
201151|0
201152|0
201153|0
201154|0
201155|0
201156|0
201157|0
201158|0
201159|0
201160|0
201161|0
201162|0
201163|0
201164|0
201165|37
201166|37
201168|37
201169|37
201170|37
201172|37
201173|37
201174|37
201175|37
201176|37
201177|37
201178|37
201179|37
201180|37
201181|0
201182|0
201183|0
201184|0
201185|0
201186|0
201187|0
201426|22
201591|75
201789|0
201790|0
201792|0
201793|0
201794|0
201867|40
202315|33
202517|33
202838|28
203636|0
203684|6
203974|11
204297|29
204502|17
204743|7
204929|0
204930|0
204931|0
204932|0
204933|0
204934|0
204935|0
204936|0
204937|0
204938|0
204939|0
204940|0
204941|0
204942|0
204943|0
204944|0
204945|0
204946|0
204947|0
204948|0
204949|0
204950|0
204951|0
204952|0
204953|0
204954|0
204955|0
204956|0
204957|0
204958|0
204959|0
204960|0
204961|0
204962|0
204963|0
204964|0
204965|0
204966|0
204967|0
204968|0
204969|0
204970|0
204971|0
204972|0
204973|0
204974|0
204975|0
204976|0
204977|0
204978|0
204979|0
204980|0
204981|0
204982|0
204983|0
204984|0
204985|0
204986|0
204987|0
204988|0
204989|0
204990|0
204991|0
204992|0
204993|0
204994|0
204995|0
204996|0
204997|0
204998|0
204999|0
205000|0
205001|0
205002|0
205003|0
205004|0
205005|0
205006|0
205007|0
205008|0
205009|0
205010|0
205011|0
205012|0
205013|0
205014|0
205015|0
205017|0
205018|0
205019|0
205020|0
205021|0
205022|0
205023|0
205024|0
205025|0
205026|0
205027|0
205028|0
205029|0
205030|0
205031|0
205032|0
205033|0
205034|0
205035|0
205036|0
205037|0
205038|0
205039|0
205040|0
205041|0
205042|0
205043|0
205044|0
205045|0
205046|0
205047|0
205049|0
205376|22
205512|0
205513|0
205941|22
205992|0
206228|45
206339|6
206563|0
206993|14
207030|6
207074|29
207278|29
207280|33
207709|0
207710|0
207711|0
207712|0
207713|0
207714|0
207715|0
207716|0
207717|0
207718|0
207719|0
207720|0
207721|0
207722|0
207723|0
207724|0
207725|0
207726|0
207727|0
207728|0
207729|0
207730|0
207731|0
207732|0
207733|0
207734|0
207735|0
207736|0
207737|0
207738|0
207739|0
207740|0
207741|0
207742|0
207743|0
207744|0
207745|0
207746|0
207747|0
207748|0
207749|0
207750|0
207751|0
207752|0
207753|0
207754|0
207755|0
207756|0
207757|0
207758|0
207759|0
207760|0
207761|0
207762|0
207763|0
207764|0
207765|0
207766|0
207767|0
207768|0
207769|0
207770|0
207771|0
207772|0
207773|0
207774|0
207775|0
207776|0
207777|0
207778|0
207779|0
207780|0
207781|0
207782|0
207783|0
207784|0
207785|0
207786|0
207787|0
207788|0
207789|0
207790|0
207791|0
207792|0
207793|0
207794|0
207795|0
207796|0
207797|0
207798|0
207799|0
207800|0
207801|0
207802|0
207803|0
207804|0
207805|0
207807|0
207808|0
207810|0
207811|0
207812|0
207813|0
207814|0
207815|0
207816|0
207817|0
207818|0
207819|0
207820|0
207821|0
207822|0
207823|0
207824|0
207825|0
207826|0
207827|0
207828|0
207829|0
207830|0
207831|0
207832|0
207833|0
207834|0
207835|0
207836|0
207837|0
207838|0
207839|0
207840|0
207841|0
207842|0
207843|0
207844|0
207845|0
207846|0
207847|0
207848|0
207849|0
207850|0
207851|0
207852|0
207853|0
207854|0
207855|0
207856|0
207857|0
207858|0
207859|0
207860|0
207861|0
207862|0
207881|0
208049|11
208210|75
208539|11
208578|37
208936|34
209030|45
209064|0
209065|0
209066|0
209067|0
209068|0
209260|33
209379|29
209706|33
209784|37
209946|22
210144|22
210241|40
210389|45
210480|40
210704|11
210736|34
210738|11
211022|29
211455|0
211456|0
211458|0
211459|0
211460|0
211461|0
211462|0
211463|0
211464|0
211465|0
211466|0
211467|0
211468|0
211469|0
211470|0
211471|0
211472|0
211473|0
211474|0
211475|0
211476|0
211477|0
211478|0
211479|0
211480|0
211481|0
211482|0
211483|0
211484|0
211485|0
211486|0
211487|0
211488|0
211489|0
211490|0
211491|0
211492|0
211493|0
211494|0
211495|0
211496|0
211497|0
211498|0
211499|0
211500|0
211501|0
211502|0
211503|0
211504|0
211505|0
211506|0
211507|0
211508|0
211509|0
211510|0
211511|0
211512|0
211513|0
211514|0
211515|0
211516|0
211517|0
211518|0
211519|0
211520|0
211521|0
211522|0
211523|0
211524|0
211525|0
211526|0
211527|0
211528|0
211529|0
211530|0
211531|0
211532|0
211533|0
211535|0
211536|0
211537|0
211538|0
211539|0
211540|0
211541|0
211542|0
211543|0
211544|0
211545|0
211546|0
211547|0
211548|0
211549|0
211550|0
211551|0
211552|0
211553|0
211554|0
211555|0
211556|0
211599|0
212140|40
212351|45
212537|29
212538|29
212539|0
212540|0
212964|75
212979|6
213090|11
213291|29
213303|7
213462|37
213685|0
213686|0
213687|0
213688|0
213689|0
213690|0
213691|0
213692|0
213693|0
213694|0
213695|0
213696|0
213697|0
213698|0
213699|0
213700|0
213701|0
213702|0
213703|0
213704|0
213705|0
213706|0
213707|0
213708|0
213709|0
213710|0
213712|0
213713|0
213714|0
213715|0
213716|0
213717|0
213718|0
213719|0
213720|0
213721|0
213722|0
213723|0
213724|0
213725|0
213726|0
213727|0
213728|0
213729|0
213730|0
213731|0
213732|0
213733|0
213734|0
213735|0
213736|0
213737|0
213738|0
213739|0
213740|0
213741|0
213742|0
213743|0
213744|0
213745|0
213746|0
213747|0
213748|0
213749|0
213750|0
213751|0
213752|0
213753|0
213754|0
213755|0
213756|0
213757|0
213758|0
213759|0
213760|0
213761|0
213762|0
213763|0
213764|0
213765|0
213766|0
213767|0
213769|0
213770|0
213771|0
213772|0
213773|0
213774|0
213775|0
213776|0
213777|0
213778|0
213779|0
213780|0
213781|0
213782|0
213783|0
213784|0
213785|0
213786|0
213787|0
213788|0
213789|0
213790|0
213791|0
213792|0
213793|0
213794|0
213795|0
213796|0
213797|0
213798|0
213799|0
213800|0
213801|0
213802|0
213803|0
213804|0
213805|0
213806|0
213807|0
213808|0
213809|0
213810|0
213811|0
213812|0
213813|0
213814|0
213815|0
213816|0
213817|0
213818|0
213819|0
213820|0
213821|0
213822|0
213823|0
213824|0
213825|0
213826|0
214057|7
214092|0
214154|0
214155|0
214156|0
214157|0
214158|0
214159|0
214160|0
214161|0
214162|0
214163|0
214164|0
214165|0
214166|0
214167|0
214168|0
214169|0
214170|0
214171|0
214172|0
214173|0
214174|0
214175|0
214176|0
214177|0
214178|0
214179|0
214180|0
214181|0
214182|0
214183|0
214184|0
214185|0
214186|0
214187|0
214188|0
214189|0
214190|0
214191|0
214192|0
214193|0
214194|0
214195|0
214196|0
214197|0
214198|0
214199|0
214200|0
214201|0
214202|0
214203|0
214204|0
214205|0
214206|0
214207|0
214208|0
214209|0
214210|0
214211|0
214349|22
214441|40
214802|45
214988|22
215148|22
215149|22
215150|22
215151|22
215152|22
215153|22
215154|22
215155|22
215156|22
215157|22
215158|22
215159|22
215160|22
215161|22
215162|22
215163|22
215164|22
215165|22
215166|22
215168|22
215169|22
215170|22
215171|22
215172|22
215173|22
215174|22
215175|22
215176|22
215177|22
215178|22
215179|22
215180|22
215181|22
215182|22
215183|22
215184|22
215185|22
215186|22
215187|22
215188|22
215189|22
215190|22
215191|22
215192|22
215193|22
215194|22
215195|22
215196|22
215197|22
215198|22
215199|22
215200|22
215201|22
215202|22
215203|22
215204|22
215205|22
215206|22
215207|22
215208|22
215209|22
215210|22
215211|22
215212|22
215214|22
215215|22
215216|22
215217|22
215218|22
215219|22
215220|22
215221|22
215222|22
215223|22
215224|22
215225|22
215226|22
215227|22
215228|22
215229|22
215230|22
215231|22
215232|22
215233|22
215234|22
215235|22
215236|22
215237|22
215238|22
215239|22
215240|22
215241|22
215242|22
215243|22
215244|22
215245|22
215246|22
215248|22
215249|22
215250|22
215251|22
215252|22
215253|40
215254|22
215255|22
215256|22
215257|22
215258|22
215259|22
215260|17
215261|22
215262|22
215263|22
215264|22
215265|22
215266|22
215267|22
215268|22
215269|22
215270|22
215271|22
215272|22
215273|22
215274|22
215275|22
215276|22
215277|22
215278|22
215279|22
215280|22
215281|22
215282|22
215283|22
215284|22
215285|22
215286|22
215287|22
215288|22
215289|22
215290|22
215291|22
215292|22
215293|22
215294|22
215295|22
215296|22
215297|22
215298|22
215299|22
215300|22
215301|22
215302|22
215303|22
215304|22
215305|22
215306|22
215307|22
215308|22
215309|22
215310|22
215311|22
215312|22
215313|33
215314|22
215316|22
215317|22
215318|22
215319|22
215320|22
215321|22
215322|22
215323|22
215324|22
215325|22
215326|22
215327|22
215328|22
215329|22
215330|22
215331|22
215332|22
215333|22
215334|22
215335|22
215336|22
215337|22
215338|22
215339|22
215340|22
215341|22
215343|22
215344|22
215345|22
215347|22
215348|22
215349|22
215350|22
