Comment_id|Place_id
39331|6
39389|0
39391|0
39392|0
39394|0
39396|0
39399|0
39560|0
39565|29
39581|45
39590|22
39594|22
39611|0
39615|0
39619|0
39620|0
39624|0
39627|0
39632|0
39635|0
39645|0
39651|0
39657|0
39673|22
39681|0
39682|0
39685|0
39686|0
39687|0
39688|0
39691|0
39693|0
39694|0
39695|0
39697|0
39698|0
39699|0
39700|0
39702|0
39705|0
39706|0
39707|0
39710|0
39711|0
39712|0
39713|0
39716|0
39718|0
39719|0
39720|0
39721|0
39722|0
39724|0
39725|0
39728|0
39729|0
39731|0
39732|0
39734|0
39735|0
39737|0
39739|0
39740|0
39741|0
39743|0
39745|0
39746|0
39748|0
39749|0
39750|0
39751|0
39752|0
39753|0
39754|0
39755|0
39756|0
39757|0
39760|75
39764|0
39765|0
39766|0
39767|0
39768|0
39769|0
39773|0
39775|0
39776|0
39777|0
39779|0
39780|0
39782|0
39783|0
39786|0
39787|0
39788|0
39789|0
39790|0
39792|0
39794|0
39797|0
39800|0
39802|0
39804|0
39805|0
39807|0
39808|0
39809|0
39810|0
39811|0
39812|0
39813|0
39814|0
39815|0
39816|0
39817|0
39818|0
39819|0
39820|0
39821|0
39822|0
39823|0
39824|0
39825|0
39826|0
39827|0
39828|0
39829|0
39830|0
39831|0
39832|0
39833|0
39834|0
39835|0
39836|0
39837|0
39838|0
39839|0
39840|0
39841|0
39842|0
39843|0
39844|0
39845|0
39846|0
39847|0
39850|0
39851|0
39941|0
39942|45
39953|0
39962|0
39966|0
39971|0
39973|0
39976|0
39980|0
39990|0
39993|0
39995|0
39999|0
40007|75
40013|0
40027|75
40030|0
40037|0
40040|0
40044|0
40046|0
40059|0
40072|0
40080|0
40084|0
40104|0
40114|0
40118|0
40126|0
40130|0
40139|0
40140|0
40148|0
40159|0
40174|0
40180|0
40185|0
40188|0
40207|0
40211|75
40217|0
40293|33
40370|0
40384|75
40385|0
40398|0
40411|0
40425|0
40428|75
40443|75
40458|75
40468|14
40477|7
40505|75
40509|22
40510|22
40550|0
40582|0
40599|0
40609|0
40616|0
40637|22
40660|0
40670|22
40673|0
40691|0
40729|0
40732|0
40738|0
40792|0
40859|0
40864|0
40868|0
40870|0
40882|0
40884|0
40886|0
40890|0
40900|0
40904|0
40919|0
40941|0
40943|0
40973|0
40980|75
41000|0
41042|0
41044|0
41045|0
41047|0
41061|0
41095|0
41107|33
41119|0
41120|0
41130|0
41143|0
41145|0
41159|0
41162|0
41163|0
41201|0
41204|0
41205|0
41206|0
41208|0
41209|0
41210|0
41214|0
41215|0
41216|0
41222|0
41224|0
41228|0
41229|0
41230|0
41296|0
41304|0
41308|0
41316|0
41322|0
41323|0
41341|0
41344|0
41351|0
41356|0
41375|0
41389|0
41394|0
41410|0
41445|0
41448|0
41467|0
41516|0
41589|0
41596|0
41599|0
41607|0
41611|0
41735|0
41743|6
41788|0
41791|0
41833|0
41860|28
41878|0
41879|0
41900|0
41902|0
41909|0
41911|0
41912|0
41915|0
41916|0
41918|0
41934|0
41943|0
41946|0
41952|0
41956|0
41962|0
41970|0
41977|0
41980|0
41983|0
41991|0
41994|0
42039|0
42043|0
42095|0
42097|0
42149|0
42158|0
42171|0
42194|0
42198|0
42263|0
42272|0
42295|0
42298|0
42361|0
42388|0
42390|0
42391|0
42400|0
42478|0
42479|0
42545|0
42597|0
42648|0
42662|0
42667|0
42692|0
42717|0
42768|0
42866|0
42884|0
42968|0
42971|0
43222|29
43229|29
43230|0
43233|0
43235|75
43245|0
43254|0
43259|0
43260|29
43267|0
43268|75
43272|0
43273|29
43276|29
43282|0
43289|29
43300|0
43310|0
43319|29
43328|0
43336|0
43344|0
43345|0
43358|0
43371|0
43372|75
43377|75
43383|0
43554|6
43622|0
43685|0
43697|0
43698|0
43715|0
43725|0
43735|11
43808|0
43813|0
43814|0
43824|0
43827|0
43829|0
43830|0
43834|0
43835|0
43841|0
43842|0
43843|0
43844|0
43845|0
43846|0
43847|0
43848|0
43849|0
43850|0
43851|0
43852|0
43853|0
43862|0
43865|0
43903|0
43913|0
43922|0
43949|0
43987|0
44009|0
44031|0
44043|0
44069|22
44074|0
44087|0
44097|0
44102|0
44121|0
44142|0
44145|0
44151|0
44157|0
44163|0
44178|0
44188|0
44203|0
44213|0
44229|0
44244|0
44262|0
44271|0
44275|0
44301|0
44319|0
44321|0
44323|0
44327|0
44328|0
44337|0
44338|0
44339|0
44340|0
44342|0
44343|0
44344|0
44348|0
44350|0
44355|0
44358|0
44361|0
44364|0
44365|0
44369|0
44379|0
44380|0
44381|0
44382|0
44391|0
44392|0
44398|0
44399|0
44405|75
44418|0
44422|0
44423|0
44433|0
44446|0
44450|0
44451|0
44455|0
44458|0
44469|0
44472|0
44477|0
44487|0
44491|0
44492|0
44500|0
44503|0
44506|0
44509|0
44512|0
44517|0
44520|0
44521|0
44522|0
44525|0
44526|0
44532|0
44533|0
44545|0
44549|0
44552|0
44555|0
44566|0
44569|0
44570|0
44593|0
44594|0
44623|0
44626|0
44643|0
44674|0
44684|0
44707|0
44709|0
44712|0
44715|0
44722|37
44723|0
44728|0
44740|0
44759|0
44764|0
44769|0
44782|0
44786|0
44796|0
44797|0
44803|0
44807|0
44858|0
44862|0
44871|0
44873|0
44876|0
44887|0
44890|0
44898|33
44908|0
44909|0
44930|0
44933|0
44946|0
44948|0
44949|0
44954|0
44955|0
44961|0
44989|0
44991|0
45011|0
45014|0
45034|0
45042|0
45055|0
45067|0
45101|0
45110|75
45128|0
45132|0
45149|0
45153|0
45156|0
45169|11
45178|0
45198|0
45202|75
45207|0
45217|37
45247|75
45262|37
45277|29
45278|37
45283|75
45288|37
45290|75
45303|37
45304|75
45325|75
45326|0
45336|37
45345|75
45380|0
45382|0
45386|0
45387|0
45388|0
45389|0
45392|0
45393|0
45394|0
45395|0
45396|0
45397|0
45399|0
45402|0
45403|0
45405|0
45406|0
45407|0
45409|0
45410|0
45413|0
45414|0
45415|0
45416|0
45417|0
45418|0
45419|0
45420|0
45421|0
45423|0
45424|0
45425|0
45426|0
45427|0
45428|0
45429|0
45430|0
45431|0
45432|0
45434|0
45435|0
45436|0
45437|0
45438|0
45439|0
45440|0
45441|0
45442|0
45444|0
45445|0
45446|0
45447|0
45448|0
45451|0
45452|0
45453|0
45454|0
45455|0
45456|0
45458|0
45459|0
45460|0
45461|0
45462|0
45464|0
45465|0
45466|0
45468|0
45470|0
45471|0
45473|0
45474|0
45475|0
45476|0
45477|0
45478|0
45479|0
45480|0
45482|0
45485|0
45486|0
45487|0
45490|0
45491|0
45492|0
45494|0
45496|0
45497|0
45498|0
45499|0
45500|0
45501|0
45502|0
45503|0
45506|0
45507|0
45509|0
45510|0
45511|0
45512|0
45514|0
45515|0
45516|0
45519|0
45520|0
45521|0
45522|0
45524|0
45526|0
45527|0
45528|0
45529|0
45530|0
45532|0
45534|0
45535|0
45537|0
45538|0
45539|0
45540|0
45541|0
45542|0
45544|0
45545|0
45546|0
45547|0
45548|0
45549|0
45550|0
45551|0
45553|0
45554|0
45555|0
45556|0
45557|0
45559|0
45560|0
45562|0
45563|0
45564|0
45565|0
45566|0
45567|0
45568|0
45570|0
45571|0
45572|0
45573|0
45574|0
45575|0
45576|0
45577|0
45578|0
45579|0
45580|0
45581|0
45582|0
45583|0
45585|0
45586|0
45587|0
45588|0
45589|0
45590|0
45591|0
45592|0
45593|0
45595|0
45596|0
45597|0
45598|0
45599|0
45600|0
45601|0
45602|0
45605|0
45606|0
45607|0
45609|0
45611|0
45612|0
45613|0
45614|0
45616|0
45617|0
45618|0
45620|0
45621|0
45622|0
45623|0
45625|0
45626|0
45628|0
45629|0
45630|0
45631|0
45632|0
45633|0
45636|0
45637|0
45639|75
45655|0
45659|0
45666|0
45676|0
45683|0
45728|75
45733|0
45753|75
45759|75
45761|0
45765|0
45768|75
45771|0
45773|75
45791|0
45794|0
45795|0
45799|0
45803|0
45807|0
45811|22
45823|0
45830|0
45834|0
45844|0
45847|0
45853|0
45864|37
45865|0
45866|0
45875|0
45878|0
45881|0
45891|0
45893|0
45956|0
45959|6
45965|0
45968|0
45969|0
45970|0
45971|0
45972|0
45973|0
45976|0
45977|0
45978|0
45979|0
45981|0
45982|0
45985|0
45989|0
45990|0
45991|0
45994|0
45995|0
45996|0
45998|0
45999|0
46000|0
46001|0
46002|0
46004|0
46006|0
46009|0
46010|0
46013|0
46015|0
46016|0
46017|0
46019|0
46020|0
46021|0
46022|0
46023|0
46024|0
46025|0
46026|0
46027|0
46028|0
46029|0
46030|0
46031|0
46032|0
46033|0
46034|0
46035|0
46036|0
46037|0
46039|0
46040|0
46041|0
46042|0
46044|0
46046|0
46049|0
46050|0
46051|0
46052|0
46053|0
46054|0
46055|0
46056|0
46057|0
46060|0
46061|0
46062|0
46063|0
46064|0
46065|0
46067|0
46071|0
46072|0
46073|0
46074|0
46076|0
46078|0
46079|0
46081|0
46082|0
46083|0
46084|0
46087|0
46088|0
46090|0
46091|0
46092|0
46094|0
46096|0
46097|0
46100|0
46103|0
46105|0
46107|0
46109|0
46110|0
46112|0
46114|0
46115|0
46116|0
46117|0
46119|0
46120|0
46121|0
46123|0
46124|0
46126|33
46127|0
46128|0
46129|0
46133|0
46135|0
46136|0
46145|0
46148|0
46152|0
46154|0
46164|0
46167|0
46169|0
46171|0
46194|0
46196|0
46198|0
46199|0
46201|0
46206|0
46207|0
46210|0
46211|0
46212|0
46215|0
46219|0
46233|40
46240|14
46292|0
46406|75
46418|75
46462|29
46507|0
46508|0
46509|0
46510|0
46511|0
46512|0
46513|0
46514|0
46516|0
46517|0
46518|0
46520|0
46521|0
46522|0
46525|0
46528|0
46529|0
46532|0
46533|0
46534|0
46543|0
46544|0
46545|0
46549|0
46553|0
46559|0
46564|0
46565|0
46569|0
46571|0
46573|0
46576|0
46579|0
46580|0
46581|0
46586|0
46588|0
46591|0
46596|0
46612|0
46624|34
46630|0
46637|0
46640|0
46649|37
46659|0
46666|0
46689|0
46690|0
46695|0
46699|0
46705|0
46714|0
46715|0
46939|0
46950|0
46952|0
46953|0
46959|0
46994|0
46998|0
47004|0
47006|0
47012|0
47022|0
47030|0
47033|0
47035|0
47050|0
47053|0
47076|0
47079|0
47085|0
47100|0
47105|0
47126|0
47139|0
47143|0
47183|0
47198|0
47248|0
47249|0
47251|0
47255|0
47257|0
47259|0
47262|0
47266|0
47268|0
47269|0
47270|0
47274|0
47280|0
47281|0
47283|0
47287|0
47333|0
47336|0
47337|0
47338|0
47339|0
47343|0
47346|0
47348|0
47350|0
47351|0
47358|0
